Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-03-10;38.05;38.05;38.05;38.05;114.15
2022-04-07;35.32;35.32;35.32;35.32;2331.12
2022-04-12;35.885;35.885;35.885;35.885;2368.41
2022-05-23;40.595;40.595;40.595;40.595;1826.775
2022-06-09;44.81;44.81;44.81;44.81;44.81
2022-06-29;44.31;44.31;44.31;44.31;44.31
2022-07-01;41.915;41.915;41.915;41.915;209.575
2022-07-15;39.7;39.7;39.7;39.7;397.0
2022-07-26;42.195;42.195;42.195;42.195;421.95
2022-08-17;38.015;38.015;37.905;37.905;5501.175
2022-08-24;42.795;42.795;42.795;42.795;4279.5
2022-09-02;40.17;40.17;40.17;40.17;2410.2
2022-09-15;40.06;40.06;40.06;40.06;2403.6
2022-10-20;41.21;41.21;41.21;41.21;4121.0
2022-11-18;38.0;38.0;36.805;36.805;748.05
2022-11-21;36.015;36.015;36.015;36.015;396.165
2022-11-22;37.935;38.075;37.935;38.075;1178.085
2022-11-23;37.1;37.1;36.2;36.2;769.2
2022-11-29;37.0;37.0;37.0;37.0;777.0
2022-12-02;36.57;36.57;36.57;36.57;914.25
2022-12-06;35.36;35.36;34.0;34.0;761.6
2022-12-08;32.735;32.735;32.735;32.735;1145.725
2022-12-22;34.94;34.94;34.94;34.94;768.68
2022-12-29;34.49;34.49;34.49;34.49;2069.4
2023-01-04;33.7;33.7;33.7;33.7;370.7
2023-01-05;33.28;33.28;33.28;33.28;199.68
2023-01-11;33.23;33.23;33.14;33.14;3521.84
2023-01-12;34.455;34.455;34.38;34.38;10698.505
2023-03-13;33.0;33.565;33.0;33.565;798.78
2023-03-14;33.0;33.0;33.0;33.0;396.0
2023-03-15;32.0;32.0;31.0;31.0;818.0
2023-03-17;31.805;31.805;31.805;31.805;954.15
2023-03-24;31.15;31.15;31.15;31.15;1183.7
2023-04-04;35.18;35.18;35.16;35.16;7034.0
2023-05-03;30.35;30.35;29.85;29.85;9434.825
2023-05-05;30.545;30.95;30.545;30.95;5034.585
2023-05-08;31.13;31.13;31.13;31.13;1556.5
2023-05-09;31.395;31.395;31.395;31.395;3139.5
2023-06-13;30.97;30.97;30.97;30.97;3097.0
2023-06-14;31.5;31.5;31.5;31.5;3150.0
2023-06-15;30.825;31.12;30.825;31.12;6194.5
2023-06-16;31.45;31.45;31.45;31.45;3145.0
2023-06-21;31.84;31.84;31.84;31.84;3184.0
2023-06-22;31.07;31.07;31.07;31.07;3107.0
2023-06-23;30.52;30.73;30.52;30.73;4588.5
2023-07-05;31.89;31.89;31.89;31.89;1594.5
2023-08-31;36.395;36.395;36.395;36.395;109.185
2023-10-09;38.845;38.845;38.845;38.845;10682.375
2023-10-10;38.95;38.95;38.845;38.845;10993.975
2023-10-16;40.545;40.545;40.22;40.22;1943.56
2023-10-20;41.39;41.39;41.39;41.39;1655.6
2023-10-23;40.72;40.72;40.72;40.72;1221.6
2023-11-07;36.86;36.86;36.86;36.86;8477.8
2023-11-10;36.155;36.155;36.155;36.155;470.015
2023-12-11;33.695;33.695;33.695;33.695;7749.85
2023-12-20;34.84;34.84;34.84;34.84;69.68
2023-12-21;34.965;34.965;34.965;34.965;4545.45
2023-12-27;34.81;34.81;34.81;34.81;1287.97
2023-12-28;34.215;34.215;34.215;34.215;3421.5
2024-01-05;34.385;34.385;34.385;34.385;1272.245
2024-01-12;34.625;34.625;34.625;34.625;6925.0
2024-01-23;35.0;35.325;35.0;35.3;7032.25
2024-01-26;36.12;36.12;36.12;36.12;7224.0
2024-03-07;37.24;37.28;37.24;37.28;3727.0
2024-03-11;36.95;36.95;36.95;36.95;2771.25
2024-03-13;37.49;37.49;37.49;37.49;487.37
2024-04-15;41.86;41.86;41.86;41.86;1046.5
2024-04-16;41.95;41.95;41.95;41.95;4195.0
2024-04-17;41.885;41.885;41.885;41.885;8377.0
2024-07-03;41.39;41.39;41.39;41.39;4139.0
2024-07-18;40.4;40.4;40.4;40.4;1212.0
2024-07-25;38.76;38.76;38.76;38.76;1395.36
2024-08-22;32.805;35.935;32.805;35.935;3698.64
2024-09-10;34.18;34.32;34.18;34.32;6850.0
2024-10-04;38.48;38.48;38.24;38.335;140837.4
2024-10-07;38.31;39.105;38.31;39.105;40637.4
2024-10-11;38.67;38.67;38.67;38.67;3093.6
2024-10-17;36.95;36.95;36.95;36.95;96070.0
2024-12-02;37.91;37.91;37.91;37.91;4549.2
2024-12-19;38.8;38.8;38.8;38.8;2328.0
2025-01-13;43.865;43.865;43.865;43.865;8773.0
2025-02-26;39.2;39.2;39.2;39.2;8898.4
2025-03-04;38.07;38.07;38.07;38.07;8641.89
2025-03-07;37.2;37.2;37.2;37.2;4464.0
2025-03-20;37.26;37.26;37.26;37.26;3726.0
2025-03-31;39.22;39.22;39.22;39.22;4706.4
2025-04-10;32.93;32.93;32.93;32.93;4939.5
2025-04-14;32.86;32.86;32.86;32.86;9956.58
