Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-10-05;20.29;20.29;20.29;20.29;304.35
2022-11-04;23.445;23.445;23.445;23.445;304.785
2022-12-07;26.68;26.68;26.68;26.68;320.16
2022-12-08;26.935;26.935;26.935;26.935;808.05
2022-12-29;25.015;25.015;24.96;24.96;2499.3
2022-12-30;24.62;24.62;24.62;24.62;984.8
2023-01-13;23.265;23.265;23.265;23.265;4141.17
2023-02-23;28.35;28.35;28.35;28.35;5103.0
2023-03-02;27.25;27.25;27.25;27.25;2180.0
2023-03-09;29.0;29.0;29.0;29.0;7540.0
2023-04-06;28.355;28.355;28.355;28.355;311.905
2023-05-08;25.17;25.17;25.17;25.17;302.04
2023-06-06;23.94;23.94;23.94;23.94;311.22
2023-06-28;25.915;25.915;25.915;25.915;907.025
2023-07-05;25.545;25.545;25.545;25.545;306.54
2023-08-07;24.7;24.7;24.415;24.415;514.995
2023-09-07;24.66;24.66;24.66;24.66;320.58
2024-01-02;21.525;21.525;21.525;21.525;688.8
2024-02-23;14.856;14.856;14.856;14.856;5051.04
2024-03-26;18.666;18.666;18.666;18.666;4293.18
2024-04-10;18.226;18.226;18.226;18.226;39185.9
2024-04-11;18.718;18.718;18.718;18.718;711.284
2024-04-16;21.375;21.375;21.375;21.375;45956.25
2024-04-22;19.138;19.138;19.138;19.138;669.83
2024-04-23;18.988;18.988;18.972;18.972;1518.288
2024-05-03;20.88;20.88;20.88;20.88;835.2
2024-05-06;21.245;21.245;21.245;21.245;1062.25
2024-05-17;20.365;20.365;20.365;20.365;1955.04
2024-06-25;19.352;19.352;19.352;19.352;1006.304
2024-06-26;19.626;19.626;19.626;19.626;1020.552
2024-06-27;19.22;19.22;19.22;19.22;653.48
2024-06-28;19.168;19.168;19.168;19.168;670.88
2024-11-28;20.02;20.02;20.02;20.02;3503.5
2024-12-10;19.8;19.8;19.8;19.8;930.6
2025-01-06;21.155;21.155;21.155;21.155;63465.0
2025-01-22;22.53;22.53;22.53;22.53;67590.0
2025-03-04;19.79;19.79;19.79;19.79;1464.46
2025-04-07;17.528;17.528;17.528;17.528;17.528
2025-04-08;17.692;17.692;17.692;17.692;17.692
2025-04-30;18.706;18.706;18.706;18.706;37.412
