Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-06-17;9.281;9.281;9.256;9.256;43078.932
2022-06-24;9.462;9.462;9.447;9.447;93099.359
2022-07-06;9.443;9.443;9.443;9.443;991.515
2022-08-01;10.256;10.256;10.256;10.256;1025.6
2022-08-31;9.656;9.656;9.656;9.656;965.6
2022-10-03;8.974;8.974;8.974;8.974;942.27
2022-10-31;9.403;9.403;9.403;9.403;1034.33
2022-11-30;10.106;10.106;10.106;10.106;1010.6
2022-12-16;9.85;9.85;9.85;9.85;16400.25
2022-12-22;9.787;9.787;9.787;9.787;16295.355
2023-01-03;9.837;9.961;9.837;9.939;121796.11
2023-01-04;10.136;10.136;10.136;10.136;1013.6
2023-01-30;10.482;10.482;10.482;10.482;29978.52
2023-01-31;10.436;10.436;10.436;10.436;1033.164
2023-02-20;10.67;10.67;10.67;10.67;21275.98
2023-04-03;10.64;10.64;10.64;10.64;2500.4
2023-05-05;10.942;10.942;10.942;10.942;711.23
2023-06-20;10.896;10.896;10.896;10.896;2179.2
2023-06-28;10.816;10.816;10.816;10.816;692.224
2023-07-05;10.808;10.808;10.808;10.808;702.52
2023-07-06;10.622;10.622;10.622;10.622;2124.4
2023-08-03;10.74;10.74;10.74;10.74;10417.8
2023-08-07;10.788;10.788;10.788;10.788;712.008
2023-08-09;10.906;10.906;10.906;10.906;9739.058
2023-08-29;10.828;10.828;10.828;10.828;30426.68
2023-09-06;10.732;10.732;10.732;10.732;708.312
2023-10-05;10.38;10.38;10.38;10.38;716.22
2023-10-18;10.502;10.502;10.502;10.502;42.008
2023-10-31;10.166;10.166;10.166;10.166;10603.138
2023-11-07;10.414;10.414;10.414;10.414;708.152
2023-11-15;10.716;10.716;10.716;10.716;32.148
2023-12-06;11.188;11.188;11.188;11.188;716.032
2023-12-15;11.426;11.426;11.426;11.426;22.852
2023-12-19;11.386;11.386;11.386;11.386;79.702
2023-12-21;11.368;11.368;11.364;11.364;11822.24
2024-01-05;11.332;11.332;11.332;11.332;702.584
2024-01-16;11.248;11.248;11.248;11.248;56.24
2024-02-07;11.616;11.616;11.616;11.616;708.576
2024-02-15;11.642;11.642;11.642;11.642;58.21
2024-02-21;11.696;11.696;11.696;11.696;10503.008
2024-02-28;11.824;11.824;11.77;11.77;3542.824
2024-03-13;12.082;12.082;12.082;12.082;712.838
2024-03-15;12.064;12.064;12.064;12.064;72.384
2024-03-26;12.098;12.098;12.098;12.098;12.098
2024-03-27;12.098;12.098;12.098;12.098;36.294
2024-04-05;11.882;11.882;11.882;11.882;701.038
2024-04-15;11.928;11.928;11.928;11.928;35.784
2024-04-16;11.722;11.722;11.722;11.722;10456.024
2024-04-22;11.82;11.82;11.82;11.82;13640.28
2024-04-25;11.76;11.76;11.76;11.76;11.76
2024-04-26;11.952;11.958;11.952;11.958;59774.76
2024-05-03;11.966;11.988;11.966;11.968;61021.772
2024-05-08;12.228;12.28;12.228;12.28;32888.6
2024-05-09;12.27;12.27;12.27;12.27;110.43
2024-05-13;12.372;12.374;12.372;12.374;32961.32
2024-05-14;12.422;12.422;12.422;12.422;1180.09
2024-05-15;12.47;12.47;12.47;12.47;12.47
2024-05-21;12.442;12.468;12.442;12.468;60282.2
2024-06-05;12.518;12.518;12.518;12.518;1189.21
2024-06-12;12.596;12.596;12.596;12.596;12.596
2024-07-01;12.376;12.376;12.326;12.326;46343.5
2024-07-05;12.402;12.402;12.402;12.402;1178.19
2024-07-25;12.204;12.204;12.204;12.204;22211.28
2024-08-07;11.998;11.998;11.998;11.998;1199.8
2024-08-12;12.042;12.042;12.042;12.042;24.084
2024-09-05;12.532;12.532;12.532;12.532;1178.008
2024-09-06;12.44;12.44;12.44;12.44;783.72
2024-10-07;12.674;12.674;12.674;12.674;1178.682
2024-11-06;12.306;12.306;12.306;12.306;1181.376
2024-11-12;12.228;12.228;12.18;12.18;15237.228
2024-11-25;12.384;12.384;12.384;12.384;15480.0
2024-12-03;12.53;12.53;12.53;12.53;4986.94
2024-12-05;12.63;12.63;12.63;12.63;1187.22
2024-12-18;12.396;12.396;12.396;12.396;29006.64
2024-12-20;12.138;12.138;12.138;12.138;48.552
2025-01-03;12.31;12.328;12.31;12.328;21545.472
2025-01-07;12.464;12.464;12.464;12.464;1184.08
2025-01-08;12.388;12.388;12.388;12.388;22558.548
2025-02-05;12.924;12.924;12.924;12.924;1189.008
2025-03-03;13.5;13.52;13.49;13.502;158023.826
2025-03-04;13.232;13.276;13.232;13.242;324596.3
2025-03-05;13.424;13.424;13.424;13.424;29667.04
2025-03-06;13.306;13.332;13.242;13.242;46330.5
2025-03-18;13.22;13.22;13.22;13.22;555.24
2025-03-27;13.016;13.016;13.016;13.016;20929.728
2025-04-04;12.072;12.072;12.072;12.072;19411.776
2025-04-07;11.44;11.44;11.44;11.44;1132.56
2025-05-07;12.97;12.97;12.97;12.97;1180.27
2025-05-12;13.166;13.166;13.166;13.166;31861.72
2025-05-30;13.368;13.368;13.366;13.366;21066.392
2025-06-05;13.406;13.406;13.406;13.406;1179.728
2025-06-26;13.096;13.096;13.038;13.038;52748.69
2025-06-27;13.184;13.184;13.184;13.184;25010.048
2025-07-14;13.222;13.222;13.222;13.222;10194.162
2025-07-28;13.394;13.394;13.394;13.394;6482.696
