Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-06-21;7.686;7.686;7.686;7.686;922.32
2022-06-29;8.0;8.0;7.977;7.977;3434.25
2022-07-01;8.077;8.077;8.077;8.077;1017.702
2022-07-29;8.839;8.839;8.839;8.839;132.585
2022-08-04;8.993;8.993;8.993;8.993;1079.16
2022-08-08;8.943;8.96;8.943;8.96;9041.56
2022-08-09;8.883;8.883;8.883;8.883;88.83
2022-08-10;8.689;8.689;8.689;8.689;69.512
2022-08-16;8.924;8.924;8.924;8.924;133.86
2022-08-17;8.933;8.933;8.933;8.933;446.65
2022-08-22;8.766;8.766;8.766;8.766;876.6
2022-08-25;8.739;8.739;8.739;8.739;4806.45
2022-09-02;8.334;8.334;8.334;8.334;166.68
2022-09-06;8.304;8.304;8.304;8.304;1660.8
2022-09-14;8.31;8.31;8.31;8.31;1495.8
2022-09-19;8.002;8.002;8.002;8.002;688.172
2022-09-26;7.851;7.851;7.851;7.851;15.702
2022-09-29;7.946;7.946;7.946;7.946;278.11
2022-10-04;8.08;8.08;8.08;8.08;1373.6
2022-10-12;7.912;7.912;7.912;7.912;1028.56
2022-10-13;7.897;7.897;7.897;7.897;15.794
2022-10-19;8.08;8.08;8.08;8.08;808.0
2022-10-28;8.158;8.158;8.158;8.158;9732.494
2023-01-02;8.408;8.408;8.408;8.408;580.152
2023-01-03;8.414;8.414;8.414;8.414;19596.206
2023-01-04;8.454;8.454;8.454;8.454;9502.296
2023-01-11;8.523;8.523;8.523;8.523;10585.566
2023-01-20;8.518;8.518;8.518;8.518;9880.88
2023-01-24;8.605;8.605;8.605;8.605;4990.9
2023-02-03;8.8;8.802;8.8;8.802;1056.076
2023-02-06;8.761;8.761;8.761;8.761;96.371
2023-02-10;8.72;8.72;8.72;8.72;1744.0
2023-02-15;8.627;8.627;8.627;8.627;2959.061
2023-02-17;8.567;8.567;8.567;8.567;496.886
2023-03-01;8.348;8.348;8.308;8.308;20344.444
2023-03-03;8.457;8.457;8.457;8.457;2029.68
2023-03-10;8.2;8.2;8.2;8.2;1394.0
2023-03-14;8.34;8.34;8.34;8.34;125.1
2023-03-17;8.403;8.403;8.403;8.403;420.15
2023-03-28;8.345;8.345;8.345;8.345;1961.075
2023-04-03;8.445;8.445;8.445;8.445;92.895
2023-04-06;8.539;8.539;8.539;8.539;3048.423
2023-04-24;8.704;8.704;8.704;8.704;7711.744
2023-05-02;8.517;8.517;8.517;8.517;10518.495
2023-05-03;8.482;8.493;8.482;8.493;11299.091
2023-05-04;8.5;8.5;8.5;8.5;1700.0
2023-05-09;8.524;8.524;8.524;8.524;8524.0
2023-05-10;8.51;8.51;8.5;8.5;1701.0
2023-05-12;8.597;8.597;8.597;8.597;10591.504
2023-05-15;8.638;8.638;8.638;8.638;10581.55
2023-05-16;8.6;8.6;8.6;8.6;60.2
2023-05-31;8.358;8.358;8.358;8.358;50.148
2023-06-08;8.5;8.5;8.5;8.5;85.0
2023-06-12;8.505;8.505;8.505;8.505;680.4
2023-06-13;8.56;8.56;8.56;8.56;607.76
2023-06-16;8.628;8.628;8.608;8.608;10742.984
2023-06-19;8.54;8.54;8.54;8.54;854.0
2023-06-20;8.438;8.438;8.429;8.429;19997.61
2023-06-23;8.348;8.348;8.348;8.348;10334.824
2023-07-03;8.288;8.288;8.288;8.288;7740.992
2023-07-05;8.316;8.316;8.316;8.316;299.376
2023-07-11;8.25;8.25;8.25;8.25;10560.0
2023-07-18;8.342;8.342;8.342;8.342;91.762
2023-07-19;8.453;8.453;8.453;8.453;253.59
2023-07-28;8.614;8.614;8.614;8.614;85037.408
2023-08-03;8.414;8.414;8.414;8.414;20277.74
2023-08-22;8.222;8.222;8.222;8.222;7547.796
2023-08-25;8.286;8.286;8.286;8.286;580.02
2023-09-01;8.492;8.492;8.492;8.492;9918.656
2023-09-04;8.482;8.482;8.482;8.482;424.1
2023-09-08;8.325;8.325;8.325;8.325;299.7
2023-09-11;8.162;8.162;8.162;8.162;16.324
2023-09-14;8.314;8.314;8.314;8.314;914.54
2023-09-15;8.37;8.37;8.37;8.37;11525.49
2023-09-29;8.165;8.165;8.165;8.165;979.8
2023-10-11;8.083;8.163;8.083;8.163;4641.594
2023-11-06;7.877;7.877;7.877;7.877;7877.0
2023-11-14;7.881;7.881;7.881;7.881;1922.964
2023-12-04;8.038;8.085;8.038;8.064;312122.334
2023-12-05;7.996;7.996;7.996;7.996;10378.808
2023-12-06;8.076;8.076;8.076;8.076;2010.924
2023-12-11;8.11;8.11;8.11;8.11;8507.39
2023-12-12;8.102;8.102;8.102;8.102;10127.5
2023-12-14;8.334;8.334;8.334;8.334;10417.5
2023-12-21;8.26;8.26;8.26;8.26;90.86
2023-12-27;8.314;8.314;8.314;8.314;31144.244
2023-12-28;8.428;8.437;8.428;8.437;370.868
2023-12-29;8.419;8.419;8.401;8.401;1286.289
2024-01-02;8.468;8.468;8.468;8.468;304.848
2024-01-05;8.338;8.338;8.338;8.338;19844.44
2024-01-10;8.498;8.498;8.498;8.498;3186.75
2024-01-16;8.472;8.512;8.472;8.512;12829.296
2024-01-17;8.385;8.394;8.384;8.394;50110.95
2024-01-18;8.426;8.426;8.426;8.426;3791.7
2024-01-19;8.43;8.43;8.43;8.43;25.29
