Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-06-30;8.476;8.476;8.476;8.476;508.56
2022-07-11;8.629;8.629;8.629;8.629;517.74
2023-01-17;9.809;9.809;9.809;9.809;147.135
2023-01-30;9.794;9.794;9.794;9.794;146.91
2023-04-04;10.262;10.262;10.262;10.262;174.454
2023-05-02;10.394;10.394;10.394;10.394;62.364
2023-05-05;10.25;10.25;10.25;10.25;20.5
2023-05-12;10.39;10.414;10.386;10.386;37385.83
2023-05-18;10.458;10.458;10.458;10.458;10039.68
2023-05-26;10.272;10.29;10.272;10.29;20544.72
2023-06-22;10.268;10.268;10.268;10.268;513.4
2023-06-28;10.396;10.396;10.396;10.396;5198.0
2023-06-30;10.548;10.568;10.548;10.568;26381.6
2023-07-04;10.566;10.572;10.566;10.572;76691.432
2023-07-06;10.214;10.214;10.214;10.214;5004.86
2023-08-03;10.316;10.316;10.302;10.302;80901.402
2023-08-10;10.454;10.454;10.454;10.454;2561.23
2023-12-05;10.452;10.452;10.43;10.43;20902.68
2024-03-07;11.684;11.684;11.684;11.684;584.2
2024-04-02;11.978;11.978;11.978;11.978;1078.02
2024-04-03;11.884;11.884;11.884;11.884;249.564
2024-05-13;12.254;12.254;12.23;12.23;11040.83
2024-05-22;12.244;12.244;12.244;12.244;1224.4
2024-06-27;12.144;12.144;12.144;12.144;607.2
2024-06-28;12.028;12.028;12.028;12.028;601.4
2024-08-05;11.236;11.236;11.236;11.236;561.8
2024-08-06;11.496;11.496;11.466;11.466;10656.642
2024-10-09;12.364;12.364;12.364;12.364;50321.48
2024-11-25;11.836;11.836;11.836;11.836;96262.188
2024-11-29;11.732;11.732;11.732;11.732;10558.8
2025-01-23;12.628;12.628;12.628;12.628;239.932
2025-02-03;12.59;12.62;12.59;12.62;10436.62
2025-02-19;13.062;13.062;13.062;13.062;4597.824
2025-03-03;13.202;13.202;13.202;13.202;52.808
2025-03-07;13.116;13.116;13.116;13.116;1193.556
2025-04-01;12.662;12.662;12.662;12.662;113.958
2025-05-02;12.942;12.942;12.942;12.942;51.768
2025-06-02;13.23;13.23;13.23;13.23;52.92
2025-07-01;13.136;13.136;13.136;13.136;52.544
2025-08-04;13.176;13.176;13.176;13.176;52.704
2025-08-08;13.342;13.346;13.342;13.346;93.41
2025-08-25;13.676;13.676;13.676;13.676;10106.564
2025-09-02;13.196;13.196;13.196;13.196;52.784
