Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-09-04;4.9725;4.9725;4.9725;4.9725;1998.945
2023-09-11;4.958;4.958;4.958;4.958;123950.0
2023-09-21;4.92;4.92;4.92;4.92;123000.0
2023-09-28;4.879;4.879;4.879;4.879;121975.0
2023-09-29;4.904;4.904;4.904;4.904;122600.0
2023-10-02;4.868;4.868;4.868;4.868;97360.0
2023-10-11;4.927;4.927;4.927;4.927;24635.0
2023-10-31;4.8675;4.8675;4.8675;4.8675;121687.5
2023-11-02;4.918;4.9345;4.918;4.9345;246312.5
2023-11-03;4.95;4.95;4.95;4.95;123750.0
2023-11-07;4.917;4.917;4.917;4.917;122925.0
2023-11-14;4.9755;4.9755;4.9755;4.9755;124387.5
2023-12-14;5.064;5.066;5.064;5.066;253250.0
2024-01-16;5.047;5.047;5.047;5.047;126175.0
2024-01-17;5.018;5.018;5.018;5.018;125450.0
2024-01-26;5.05;5.05;5.05;5.05;5.05
2024-02-15;5.009;5.009;5.009;5.009;751.35
2024-03-04;4.9915;4.9915;4.9915;4.9915;2006.583
2024-05-03;5.008;5.008;5.008;5.008;125951.2
2024-06-12;4.96;4.96;4.96;4.96;171665.6
2024-06-13;4.924;4.933;4.924;4.931;128451.8
2024-06-14;4.9405;4.9405;4.9405;4.9405;170397.845
2024-07-11;4.995;4.995;4.992;4.9935;316579.645
2024-07-17;4.998;4.998;4.998;4.998;499.8
2024-07-25;4.98;4.98;4.98;4.98;498.0
2024-08-14;5.04;5.04;5.04;5.04;126000.0
2024-10-08;5.032;5.032;5.032;5.032;5.032
2024-10-23;5.023;5.023;5.023;5.023;15.069
2024-11-08;5.016;5.016;5.016;5.016;5.016
2024-11-15;5.016;5.016;5.016;5.016;5.016
2024-11-25;4.9935;4.9935;4.9935;4.9935;9.987
2024-12-16;5.001;5.001;5.001;5.001;5.001
2024-12-23;4.975;4.975;4.975;4.975;4.975
2025-01-08;4.9345;4.9345;4.9345;4.9345;4.9345
2025-01-23;4.9555;4.9555;4.9555;4.9555;9.911
2025-02-17;4.984;4.984;4.984;4.984;4.984
2025-02-20;4.9385;4.941;4.9385;4.941;124265.775
2025-02-24;4.9435;4.9435;4.9435;4.9435;9.887
2025-03-03;4.9535;4.954;4.9535;4.954;124593.025
2025-03-17;4.8985;4.901;4.8985;4.901;34.2945
2025-03-18;4.8615;4.9205;4.8615;4.9205;123741.725
2025-03-24;4.897;4.897;4.897;4.897;14.691
2025-03-27;4.896;4.896;4.896;4.896;734.4
2025-03-28;4.9005;4.9005;4.9005;4.9005;735.075
2025-03-31;4.9165;4.923;4.9145;4.923;1671.57
2025-04-01;4.9215;4.9215;4.9215;4.9215;4.9215
2025-04-02;4.9275;4.9275;4.9275;4.9275;197.1
2025-04-08;4.9295;4.9295;4.9295;4.9295;4.9295
2025-04-15;4.9305;4.9305;4.9295;4.9295;29.582
2025-04-16;4.955;4.956;4.953;4.9555;126847.925
2025-04-24;4.9745;4.9745;4.9745;4.9745;4.9745
2025-04-29;4.9685;4.9685;4.9685;4.9685;745.275
2025-05-08;4.972;4.972;4.972;4.972;397.76
2025-05-13;4.942;4.9425;4.942;4.9425;2224.05
2025-05-15;4.901;4.909;4.901;4.909;759.695
2025-05-19;4.899;4.899;4.899;4.899;734.85
2025-05-20;4.9165;4.9165;4.904;4.904;1473.075
2025-05-21;4.8985;4.8985;4.8985;4.8985;734.775
2025-05-22;4.8885;4.8885;4.8885;4.8885;733.275
2025-05-23;4.9045;4.9045;4.9045;4.9045;9.809
2025-06-02;4.9165;4.92;4.9165;4.92;747.315
2025-06-03;4.925;4.9345;4.925;4.9345;1478.925
2025-06-04;4.9205;4.9205;4.9205;4.9205;73.8075
2025-06-05;4.932;4.932;4.932;4.932;739.8
2025-06-06;4.928;4.929;4.927;4.929;2217.6
2025-06-09;4.9365;4.9365;4.9315;4.9315;81863.65
2025-06-10;4.9265;4.9325;4.9265;4.9325;743.9075
2025-06-12;4.9375;4.9375;4.9375;4.9375;740.625
2025-06-13;4.933;4.933;4.933;4.933;739.95
2025-06-16;4.939;4.939;4.939;4.939;4.939
2025-06-25;4.9495;4.9495;4.9495;4.9495;742.425
2025-07-01;4.957;4.957;4.957;4.957;9.914
2025-07-08;4.924;4.924;4.924;4.924;9.848
2025-07-09;4.9235;4.9235;4.9235;4.9235;738.525
2025-07-15;4.9155;4.9205;4.9135;4.9135;1509.6045
2025-07-16;4.9075;4.916;4.9075;4.913;5158.875
2025-07-21;4.9225;4.9225;4.9225;4.9225;738.375
2025-07-22;4.9295;4.9295;4.9295;4.9295;739.425
2025-07-23;4.926;4.9375;4.926;4.9375;763.5875
2025-07-25;4.916;4.916;4.913;4.913;1474.35
2025-07-30;4.923;4.923;4.923;4.923;738.45
2025-08-01;4.934;4.942;4.934;4.942;1500.943
2025-08-11;4.944;4.944;4.944;4.944;741.6
2025-08-13;4.943;4.943;4.943;4.943;296.58
2025-08-18;4.9185;4.9225;4.9185;4.9225;1476.15
2025-08-19;4.9225;4.9225;4.9225;4.9225;4.9225
2025-08-21;4.8755;4.8755;4.874;4.874;1462.425
2025-08-22;4.872;4.872;4.872;4.872;730.8
2025-08-28;4.879;4.879;4.879;4.879;731.85
2025-09-01;4.8715;4.8715;4.8715;4.8715;53.5865
2025-09-03;4.869;4.869;4.869;4.869;973.8
2025-09-05;4.9045;4.9045;4.8955;4.8955;988.9
2025-09-08;4.9055;4.9055;4.9055;4.9055;9.811
2025-09-12;4.904;4.904;4.904;4.904;735.6
2025-09-15;4.906;4.906;4.906;4.906;9.812
2025-09-26;4.891;4.891;4.891;4.891;44.019
