Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-04-06;4.6935;4.6935;4.6935;4.6935;1999.431
2023-04-21;4.6075;4.6075;4.6075;4.6075;115187.5
2023-05-31;4.646;4.646;4.638;4.638;31604.72
2023-06-15;4.604;4.604;4.604;4.604;32260.228
2023-08-23;4.475;4.475;4.475;4.475;23046.25
2024-01-26;4.568;4.568;4.568;4.568;4.568
2024-02-15;4.5505;4.557;4.5505;4.557;114607.575
2024-03-04;4.52;4.52;4.52;4.52;1925.52
2024-04-12;4.5595;4.5655;4.5595;4.5655;10129.9445
2024-04-16;4.5305;4.5365;4.5305;4.5365;7452.5695
2024-09-09;4.67;4.67;4.55;4.564;301935.613
2024-10-23;4.565;4.565;4.565;4.565;4.565
2024-11-15;4.582;4.582;4.582;4.582;4.582
2024-11-25;4.5765;4.5765;4.5765;4.5765;4.5765
2024-12-09;4.621;4.621;4.621;4.621;69.315
2024-12-16;4.5855;4.5855;4.5855;4.5855;4.5855
2025-01-08;4.543;4.543;4.543;4.543;104.489
2025-02-10;4.6275;4.6275;4.6275;4.6275;106.4325
2025-02-24;4.5605;4.5605;4.5605;4.5605;4.5605
2025-03-10;4.4575;4.4575;4.4575;4.4575;106.98
2025-03-17;4.444;4.444;4.444;4.444;8.888
2025-03-18;4.391;4.391;4.391;4.391;658.65
2025-03-24;4.4515;4.4555;4.4515;4.4555;676.636
2025-03-25;4.4525;4.4525;4.4525;4.4525;667.875
2025-04-01;4.4785;4.4785;4.4785;4.4785;4.4785
2025-04-07;4.5065;4.5065;4.5065;4.5065;103.6495
2025-04-08;4.4555;4.4555;4.4555;4.4555;102.4765
2025-04-11;4.3785;4.3785;4.3785;4.3785;100.7055
2025-04-14;4.3625;4.3875;4.3625;4.3875;3281.85
2025-05-08;4.46;4.46;4.46;4.46;111.5
2025-05-13;4.458;4.458;4.458;4.458;668.7
2025-05-19;4.4065;4.4065;4.4065;4.4065;660.975
2025-05-20;4.4175;4.4175;4.41;4.41;1324.125
2025-05-22;4.394;4.4;4.394;4.4;1319.1
2025-05-27;4.4245;4.4245;4.4245;4.4245;663.675
2025-05-29;4.4195;4.4195;4.4195;4.4195;1325.85
2025-06-03;4.4135;4.42;4.4135;4.42;1325.025
2025-06-06;4.4145;4.4145;4.4145;4.4145;662.175
2025-06-09;4.4135;4.42;4.4135;4.42;1426.16
2025-06-10;4.414;4.414;4.414;4.414;662.1
2025-06-12;4.4075;4.4075;4.3995;4.3995;1321.05
2025-06-13;4.394;4.394;4.394;4.394;659.1
2025-06-18;4.4035;4.4035;4.4035;4.4035;660.525
2025-06-20;4.3935;4.3935;4.3935;4.3935;659.025
2025-06-23;4.3815;4.392;4.3815;4.392;1316.025
2025-07-01;4.382;4.382;4.381;4.381;1314.45
2025-07-08;4.3515;4.3515;4.3515;4.3515;56.5695
2025-07-14;4.337;4.337;4.337;4.337;650.55
2025-07-16;4.342;4.359;4.342;4.359;2610.525
2025-07-22;4.3615;4.3615;4.3615;4.3615;654.225
2025-07-23;4.363;4.363;4.363;4.363;4.363
2025-07-25;4.3355;4.3355;4.331;4.331;1299.975
2025-07-28;4.351;4.351;4.351;4.351;652.65
2025-07-29;4.37;4.37;4.37;4.37;655.5
2025-07-30;4.3715;4.3715;4.3715;4.3715;655.725
2025-08-01;4.3735;4.386;4.3735;4.386;112105.286
2025-08-08;4.3735;4.3735;4.3735;4.3735;56.8555
2025-08-12;4.3795;4.3795;4.3595;4.3595;221411.075
2025-08-14;4.386;4.386;4.386;4.386;657.9
2025-08-18;4.354;4.354;4.354;4.354;47.894
2025-08-21;4.318;4.325;4.318;4.3215;110692.9
2025-08-22;4.32;4.3215;4.317;4.317;219201.15
2025-08-25;4.3175;4.319;4.3175;4.319;729.836
2025-08-27;4.3295;4.3295;4.3275;4.3275;1298.55
2025-09-01;4.315;4.3155;4.3115;4.3155;879.937
2025-09-02;4.3095;4.3095;4.305;4.305;2368.75
2025-09-04;4.3245;4.3245;4.3245;4.3245;2603.349
2025-09-08;4.34;4.34;4.34;4.34;78.12
2025-09-15;4.3425;4.3425;4.3425;4.3425;217.125
2025-09-23;4.3235;4.3235;4.3235;4.3235;116.7345
