Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-03-20;10.058;10.06;10.058;10.06;15087.986
2023-03-28;10.026;10.026;10.026;10.026;4942.818
2023-04-03;9.998;9.998;9.998;9.998;5998.8
2023-05-02;9.94;9.94;9.94;9.94;11023.46
2023-10-19;10.026;10.026;10.026;10.026;100.26
2024-01-26;10.242;10.242;10.242;10.242;10.242
2024-03-14;10.212;10.212;10.212;10.212;6535.68
2024-03-15;10.21;10.21;10.21;10.21;118476.84
2024-03-18;10.208;10.208;10.208;10.208;40842.208
2024-03-19;10.212;10.212;10.212;10.212;16339.2
2024-03-22;10.238;10.238;10.238;10.238;54916.632
2024-03-25;10.236;10.236;10.236;10.236;19960.2
2024-07-18;10.048;10.048;10.048;10.048;11052.8
2024-08-09;10.118;10.118;10.118;10.118;4047.2
2024-08-27;10.13;10.13;10.13;10.13;10119.87
2024-10-07;10.206;10.206;10.206;10.206;1020.6
2024-10-09;10.202;10.202;10.202;10.202;1020.2
2024-11-11;10.29;10.29;10.29;10.29;3087.0
2024-12-30;10.344;10.344;10.344;10.344;10344.0
2025-01-13;10.246;10.246;10.246;10.246;4989.802
2025-02-26;10.308;10.308;10.308;10.308;10308.0
2025-06-06;10.196;10.196;10.196;10.196;713.72
