Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-07-12;30.79;30.79;30.79;30.79;36948.0
2022-08-03;30.75;30.75;30.75;30.75;19987.5
2022-10-14;30.22;30.22;30.22;30.22;36264.0
2023-01-12;30.99;30.99;30.99;30.99;3099.0
2023-03-17;32.11;32.11;32.11;32.11;3211.0
2023-05-22;32.22;32.22;32.22;32.22;2416500.0
2023-06-01;32.52;32.52;32.52;32.52;48780.0
2023-06-05;32.03;32.03;32.03;32.03;96.09
2023-10-31;33.07;33.07;33.07;33.07;661400.0
2023-12-07;32.91;32.91;32.91;32.91;658200.0
2024-02-13;32.67;32.67;32.58;32.58;685.98
2024-03-27;35.15;35.15;35.15;35.15;210.9
2024-04-02;36.72;36.72;36.71;36.71;1946.13
2024-04-23;37.71;37.71;37.71;37.71;414.81
2024-05-16;38.03;38.03;38.03;38.03;76.06
2024-06-28;37.75;37.75;37.75;37.75;226.5
2024-07-11;38.21;38.21;38.19;38.19;76.4
2024-08-16;39.28;39.28;39.28;39.28;2946.0
2024-09-04;39.025;39.025;39.025;39.025;1951.25
2024-09-16;40.36;40.36;40.36;40.36;1009.0
2024-10-10;41.44;41.44;41.29;41.29;455.69
2024-10-18;43.28;43.28;43.28;43.28;2596.8
2024-10-24;43.78;43.78;43.73;43.73;4421.73
2024-10-28;43.75;43.75;43.75;43.75;7087.5
2024-11-06;43.425;43.425;42.94;43.1;2705.945
2024-11-07;43.035;43.11;43.035;43.11;129.255
2024-11-15;42.0;42.0;42.0;42.0;2100.0
2024-11-18;42.66;42.66;42.66;42.66;4266.0
2024-11-19;43.01;43.07;42.96;43.0;16590.36
2024-11-20;42.97;43.48;42.97;43.48;4383.96
2024-11-22;44.93;44.93;44.93;44.93;10423.76
2024-11-29;43.65;43.65;43.65;43.65;873000.0
2024-12-02;43.28;43.28;43.28;43.28;5193.6
2024-12-30;43.39;43.39;43.39;43.39;173.56
2025-01-03;47.0;49.3;44.47;44.47;1460.98
2025-01-07;44.3;44.3;44.3;44.3;177.2
2025-01-08;44.43;44.79;44.43;44.79;401.85
2025-01-09;44.83;44.83;44.83;44.83;1344.9
2025-01-15;45.34;45.34;45.34;45.34;3173.8
2025-01-16;45.81;45.81;45.81;45.81;5497.2
2025-01-21;45.55;45.55;45.55;45.55;455.5
2025-01-31;46.85;47.05;46.85;47.05;3801.15
2025-02-07;47.59;47.86;47.59;47.86;1047.25
2025-02-14;48.28;48.28;48.28;48.28;3862.4
2025-02-18;47.81;47.81;47.81;47.81;2390.5
