Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-12-09;10.526;10.526;10.526;10.526;105.26
2022-12-12;10.32;10.32;10.32;10.32;103.2
2022-12-14;10.392;10.392;10.392;10.392;103.92
2022-12-28;10.238;10.238;10.238;10.238;102.38
2023-01-02;10.288;10.288;10.288;10.288;102.88
2023-01-03;10.454;10.454;10.454;10.454;104.54
2023-01-04;10.558;10.56;10.55;10.56;31035.62
2023-01-05;10.62;10.654;10.62;10.654;20413.44
2023-01-09;10.984;10.984;10.934;10.934;5358.66
2023-01-10;10.934;10.934;10.934;10.934;437.36
2023-01-12;10.936;10.936;10.936;10.936;20122.24
2023-01-13;10.962;10.962;10.962;10.962;107120.664
2023-01-17;11.004;11.004;11.004;11.004;9903.6
2023-01-18;11.068;11.068;11.054;11.054;9954.9
2023-01-19;11.06;11.06;11.06;11.06;2101.4
2023-01-23;11.206;11.22;11.206;11.22;109635.54
2023-01-24;11.26;11.26;11.26;11.26;6756.0
2023-01-31;11.03;11.03;11.03;11.03;4963.5
2023-02-03;11.11;11.12;11.11;11.12;105279.66
2023-02-06;10.908;10.908;10.908;10.908;15053.04
2023-02-07;11.06;11.06;11.042;11.042;10166.92
2023-02-13;11.038;11.064;11.038;11.064;53315.372
2023-03-01;10.902;10.902;10.902;10.902;5123.94
2023-03-02;10.862;10.882;10.862;10.882;10436.72
2023-03-13;10.55;10.55;10.55;10.55;1055.0
2023-03-30;10.752;10.752;10.752;10.752;5053.44
2023-03-31;10.776;10.776;10.776;10.776;1077.6
2023-04-04;10.74;10.74;10.74;10.74;5047.8
2023-04-11;10.786;10.786;10.778;10.778;66687.246
2023-05-04;10.526;10.526;10.526;10.526;10315.48
2023-05-25;10.632;10.632;10.632;10.632;105044.16
2023-05-29;10.77;10.77;10.77;10.77;5061.9
2023-07-10;10.682;10.682;10.682;10.682;5020.54
2023-08-02;10.976;11.034;10.88;10.892;236449.808
2023-08-04;10.87;10.87;10.87;10.87;5000.2
2023-08-22;10.636;10.636;10.636;10.636;5105.28
2023-08-23;10.736;10.736;10.736;10.736;5153.28
2023-09-12;10.962;10.962;10.962;10.962;5042.52
2023-09-20;11.1;11.1;11.1;11.1;5106.0
2023-10-09;10.878;10.878;10.878;10.878;2066.82
2023-10-20;10.71;10.71;10.71;10.71;5033.7
2023-11-06;11.088;11.088;11.088;11.088;10200.96
2023-11-09;10.974;11.004;10.974;11.004;15167.12
2023-12-04;11.056;11.056;11.056;11.056;221.12
2023-12-06;11.06;11.06;11.024;11.024;111258.624
2023-12-12;11.01;11.01;11.01;11.01;5064.6
2023-12-14;11.072;11.072;11.072;11.072;106579.072
2023-12-15;11.192;11.192;11.192;11.192;5036.4
2023-12-18;11.156;11.156;11.156;11.156;5020.2
2023-12-28;11.482;11.482;11.482;11.482;3008.284
2024-03-13;12.188;12.188;12.188;12.188;121.88
2024-03-18;12.114;12.114;12.114;12.114;48456.0
2024-03-20;12.072;12.072;12.072;12.072;3863.04
2024-03-21;12.262;12.278;12.242;12.27;24035.21
2024-03-22;12.19;12.19;12.19;12.19;195.04
2024-05-03;12.478;12.498;12.478;12.498;5623.3
2024-05-06;12.554;12.554;12.554;12.554;12.554
2024-05-17;12.94;12.94;12.94;12.94;129.4
2024-06-04;12.448;12.448;12.448;12.448;1618.24
2024-06-06;12.744;12.744;12.744;12.744;2166.48
2024-06-12;12.8;12.8;12.8;12.8;3200.0
2024-06-14;12.824;12.824;12.824;12.824;5129.6
2024-06-20;13.176;13.176;13.176;13.176;3294.0
2024-06-21;13.112;13.112;13.1;13.11;114643.91
2024-07-09;13.178;13.192;13.178;13.192;9769.496
2024-07-19;12.868;12.868;12.868;12.868;51472.0
2024-07-22;12.918;12.918;12.918;12.918;18020.61
2024-07-29;12.774;12.774;12.774;12.774;5109.6
2024-07-31;12.908;12.908;12.858;12.858;111789.096
2024-08-08;12.568;12.568;12.568;12.568;13824.8
2024-08-26;12.84;12.84;12.84;12.84;5778.0
2024-08-30;12.85;12.85;12.85;12.85;64.25
2024-09-03;12.674;12.674;12.674;12.674;12.674
2024-09-18;12.562;12.562;12.562;12.562;104855.014
2024-09-24;13.152;13.152;13.152;13.152;26.304
2024-10-01;13.45;13.45;13.45;13.45;67.25
2024-10-03;13.606;13.684;13.606;13.632;425513.562
2024-10-11;13.56;13.56;13.554;13.554;6725.064
2024-10-14;13.75;13.75;13.75;13.75;18356.25
2024-10-15;13.56;13.56;13.56;13.56;54.24
