Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-05-12;11.742;11.742;11.742;11.742;9921.99
2022-06-07;12.42;12.42;12.42;12.42;1242.0
2022-06-17;12.068;12.096;12.068;12.096;20418.58
2022-07-06;12.242;12.264;12.242;12.264;20707.57
2022-07-08;12.58;12.58;12.58;12.58;1258.0
2022-08-04;12.502;12.502;12.502;12.502;10564.19
2022-08-05;12.558;12.558;12.558;12.558;10611.51
2022-08-10;12.394;12.394;12.394;12.394;103291.596
2022-11-28;11.434;11.434;11.434;11.434;9661.73
2022-12-05;11.854;11.854;11.854;11.854;23.708
2022-12-07;11.618;11.618;11.618;11.618;9817.21
2022-12-22;11.32;11.32;11.3;11.314;12495.34
2023-01-10;11.9;11.964;11.884;11.964;176965.622
2023-01-12;12.054;12.068;12.054;12.068;3616.9
2023-01-16;12.106;12.106;12.106;12.106;10919.612
2023-02-15;11.94;11.94;11.94;11.94;10149.0
2023-02-24;11.652;11.652;11.652;11.652;3029.52
2023-03-08;11.74;11.74;11.74;11.74;2935.0
2023-03-13;11.306;11.306;11.306;11.306;2939.56
2023-03-14;11.212;11.212;11.212;11.212;2915.12
2023-03-15;11.292;11.292;11.292;11.292;2935.92
2023-05-15;11.328;11.328;11.328;11.328;3058.56
2023-05-22;11.518;11.518;11.518;11.518;3109.86
2023-06-05;11.66;11.66;11.64;11.64;15844.92
2023-06-27;11.56;11.56;11.56;11.56;3005.6
2023-07-21;11.604;11.658;11.604;11.628;160126.994
2023-07-27;11.878;11.938;11.878;11.938;112007.34
2023-07-28;12.022;12.022;12.0;12.006;12012.5
2023-08-02;11.822;11.822;11.822;11.822;2955.5
2023-08-03;11.776;11.776;11.776;11.776;3061.76
2023-08-22;11.31;11.31;11.31;11.31;3053.7
2023-08-28;11.504;11.526;11.504;11.526;5987.8
2023-08-30;11.528;11.528;11.528;11.528;2997.28
2023-09-06;11.566;11.566;11.566;11.566;9021.48
2023-09-14;11.59;11.59;11.59;11.59;579.5
2023-09-29;11.268;11.268;11.268;11.268;3042.36
2023-10-05;11.054;11.054;11.05;11.05;156985.27
2023-10-10;11.212;11.212;11.212;11.212;9081.72
2023-10-31;10.794;10.794;10.794;10.794;2914.38
2023-11-01;10.92;10.92;10.92;10.92;3057.6
2023-11-09;11.25;11.25;11.25;11.25;3037.5
2023-11-30;11.296;11.298;11.296;11.296;12200.22
2023-12-14;11.456;11.47;11.452;11.452;157050.252
2023-12-27;11.544;11.544;11.544;11.544;3001.44
2024-01-16;11.314;11.358;11.314;11.356;20657.52
2024-01-19;11.28;11.28;11.28;11.28;10558.08
2024-02-12;11.752;11.752;11.752;11.752;30672.72
2024-02-16;11.798;11.798;11.798;11.798;11042.928
2024-03-14;12.108;12.108;12.1;12.1;9077.5
2024-03-15;12.006;12.006;12.006;12.006;3001.5
2024-04-19;11.772;11.772;11.772;11.772;102828.42
2024-04-23;11.994;11.996;11.994;11.996;19407.66
2024-04-29;12.316;12.318;12.316;12.318;98506.546
2024-05-03;12.49;12.494;12.49;12.494;6383.474
2024-07-29;12.578;12.578;12.578;12.578;3018.72
2024-07-31;12.696;12.714;12.696;12.714;11209.428
2024-09-02;12.62;12.62;12.62;12.62;25.24
2024-09-03;12.626;12.626;12.616;12.616;1400.486
2024-09-24;13.006;13.006;13.006;13.006;1469.678
2024-09-26;13.408;13.408;13.408;13.408;3217.92
2024-09-27;13.522;13.542;13.504;13.512;21771.8
2024-09-30;13.38;13.38;13.38;13.38;3077.4
2024-10-01;13.39;13.39;13.32;13.326;27177.86
2024-10-10;13.592;13.592;13.592;13.592;3126.16
2024-10-11;13.522;13.522;13.522;13.522;3001.884
2024-10-28;13.448;13.448;13.438;13.438;7164.754
2024-10-31;13.086;13.086;13.086;13.086;3009.78
2024-11-19;13.186;13.186;13.186;13.186;8307.18
2024-11-27;13.212;13.216;13.212;13.216;2484.232
2024-11-28;13.096;13.1;13.078;13.1;10223.576
2024-12-27;13.144;13.174;13.144;13.174;22773.86
2025-01-06;13.266;13.278;13.266;13.268;20438.0
2025-01-07;13.26;13.26;13.24;13.246;29147.8
2025-01-08;13.196;13.198;13.188;13.19;23218.8
2025-01-10;13.004;13.01;13.004;13.01;5723.08
2025-01-28;13.134;13.134;13.134;13.134;2889.48
2025-01-29;13.386;13.386;13.364;13.364;8426.04
2025-01-31;13.606;13.606;13.606;13.606;2857.26
2025-02-03;13.442;13.442;13.442;13.442;2822.82
2025-02-06;13.612;13.612;13.612;13.612;2831.296
2025-02-17;13.91;13.912;13.91;13.912;3129.78
2025-02-21;14.166;14.166;14.166;14.166;2974.86
2025-02-26;13.966;13.968;13.966;13.968;15363.524
2025-03-27;13.476;13.476;13.432;13.432;5919.76
2025-03-28;13.236;13.236;13.182;13.182;4665.126
2025-04-07;11.554;11.59;11.554;11.59;5323.12
2025-04-11;11.862;11.862;11.862;11.862;1933.506
2025-04-15;12.182;12.182;12.182;12.182;134.002
2025-05-14;13.468;13.468;13.468;13.468;3097.64
2025-05-15;13.494;13.494;13.476;13.476;30682.578
2025-07-03;13.396;13.412;13.396;13.402;12869.28
2025-07-07;13.37;13.37;13.37;13.37;3208.8
2025-07-08;13.398;13.398;13.398;13.398;3215.52
2025-07-09;13.352;13.352;13.352;13.352;3204.48
2025-07-14;13.384;13.384;13.384;13.384;1766.688
2025-07-21;13.714;13.714;13.714;13.714;1727.964
2025-07-23;13.692;13.7;13.692;13.7;6300.16
2025-07-25;13.622;13.622;13.616;13.616;3269.22
2025-07-29;13.786;13.786;13.786;13.786;105297.468
2025-08-06;13.7;13.7;13.7;13.7;1534.4
2025-08-07;13.836;13.836;13.806;13.808;31086.38
2025-08-08;13.74;13.758;13.728;13.728;18394.132
2025-08-11;13.784;13.784;13.784;13.784;3170.32
2025-08-19;13.97;13.97;13.936;13.936;9627.8
2025-08-21;13.882;13.912;13.882;13.912;6392.62
2025-08-29;13.928;13.928;13.928;13.928;3203.44
2025-09-10;14.432;14.432;14.432;14.432;1876.16
2025-09-15;14.566;14.566;14.564;14.564;6088.148
2025-09-16;14.598;14.598;14.56;14.576;18280.372
2025-09-23;14.784;14.784;14.784;14.784;3252.48
2025-09-24;14.808;14.816;14.806;14.816;27576.088
