Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-01-05;14.85;14.85;14.85;14.85;594.0
2022-01-10;14.114;14.114;14.114;14.114;8821.25
2022-02-01;13.432;13.432;13.432;13.432;402.96
2022-02-28;13.194;13.194;13.194;13.194;9235.8
2022-03-04;13.128;13.128;13.128;13.128;196.92
2022-03-10;12.672;12.672;12.672;12.672;17740.8
2022-03-14;12.458;12.464;12.458;12.464;37382.34
2022-03-30;13.112;13.112;13.106;13.106;39851.36
2022-04-01;13.028;13.028;13.028;13.028;39201.252
2022-04-05;13.178;13.178;13.178;13.178;26356.0
2022-04-19;12.272;12.272;12.272;12.272;184.08
2022-04-26;12.334;12.334;12.316;12.316;28708.88
2022-04-29;12.59;12.59;12.59;12.59;226.62
2022-05-04;12.41;12.41;12.4;12.4;19840.2
2022-05-19;12.2;12.258;12.2;12.258;12960.4
2022-05-27;12.406;12.406;12.406;12.406;8684.2
2022-06-06;12.312;12.35;12.312;12.35;222903.14
2022-06-10;12.116;12.142;12.116;12.142;16980.6
2022-06-14;11.7;11.704;11.7;11.704;20873.6
2022-06-22;11.36;11.372;11.36;11.372;35237.8
2022-06-24;11.626;11.626;11.626;11.626;8138.2
2022-06-27;11.728;11.728;11.674;11.674;92415.816
2022-06-29;11.674;11.75;11.674;11.738;80261.514
2022-07-01;11.58;11.58;11.58;11.58;105957.0
2022-07-04;11.756;11.774;11.756;11.774;28462.12
2022-07-05;11.82;11.868;11.82;11.868;158631.44
2022-07-12;12.21;12.21;12.21;12.21;20024.4
2022-07-28;12.702;12.702;12.702;12.702;8891.4
2022-09-08;12.234;12.234;12.234;12.234;8563.8
2022-09-22;11.892;11.892;11.892;11.892;12308.22
2022-09-28;11.98;11.98;11.98;11.98;2995.0
2022-10-13;11.736;11.736;11.736;11.736;2934.0
2022-10-14;11.882;11.882;11.882;11.882;20555.86
2022-10-19;11.752;11.76;11.752;11.76;16458.4
2022-10-27;11.92;11.92;11.92;11.92;8344.0
2022-11-11;12.51;12.51;12.51;12.51;8757.0
2022-11-23;12.582;12.596;12.582;12.596;5992.364
2022-11-30;12.512;12.512;12.512;12.512;19894.08
2022-12-02;12.48;12.48;12.48;12.48;8736.0
2022-12-21;12.008;12.016;12.008;12.016;12010.4
2023-01-11;11.898;11.898;11.898;11.898;5949.0
2023-03-23;12.166;12.166;12.166;12.166;107754.262
2023-04-03;12.448;12.468;12.448;12.468;74755.332
2023-04-04;12.446;12.46;12.402;12.402;43240.158
2023-04-19;12.268;12.268;12.264;12.264;4943.192
2023-05-08;12.36;12.36;12.36;12.36;19899.6
2023-05-26;12.876;12.876;12.876;12.876;1519.368
2023-05-29;12.896;12.898;12.896;12.898;110161.432
2023-06-09;13.352;13.352;13.352;13.352;20295.04
2023-06-16;13.422;13.422;13.422;13.422;9771.216
2023-10-02;12.398;12.398;12.398;12.398;19960.78
2023-10-19;12.218;12.218;12.218;12.218;105429.122
2023-10-20;12.116;12.116;12.116;12.116;106608.684
2023-10-27;12.05;12.052;12.05;12.052;22738.764
2023-10-30;12.05;12.05;11.98;11.98;163642.5
2023-11-03;12.74;12.74;12.74;12.74;109653.18
2024-01-09;13.304;13.304;13.304;13.304;2620.888
2024-01-30;13.538;13.538;13.538;13.538;20036.24
2024-02-05;13.644;13.644;13.644;13.644;20193.12
2024-02-06;13.586;13.588;13.586;13.588;39945.78
2024-05-06;13.654;13.654;13.65;13.652;254491.068
2024-05-10;13.424;13.43;13.424;13.43;149801.58
2024-05-13;13.356;13.362;13.356;13.362;106880.418
2024-05-20;13.478;13.478;13.476;13.476;25564.626
2024-06-05;13.35;13.35;13.35;13.35;4939.5
2024-06-20;13.018;13.018;13.014;13.014;5011.05
2024-06-26;13.27;13.278;13.27;13.278;9079.416
2024-06-28;13.312;13.312;13.312;13.312;5058.56
2024-07-10;13.792;13.792;13.792;13.792;5103.04
2024-07-16;13.828;13.828;13.812;13.812;6635.68
2024-07-17;13.764;13.764;13.764;13.764;5092.68
2024-07-23;13.584;13.584;13.584;13.584;13.584
2024-07-26;13.366;13.366;13.366;13.366;5079.08
2024-08-06;12.874;12.876;12.58;12.58;141407.126
2024-08-08;13.19;13.216;13.164;13.164;23055.504
2024-08-13;13.382;13.454;13.382;13.454;7721.424
2024-08-20;13.726;13.726;13.726;13.726;5078.62
2024-08-22;14.002;14.004;14.002;14.002;6161.378
2024-08-26;14.002;14.002;14.002;14.002;5040.72
2024-09-06;13.636;13.642;13.552;13.552;40281.9
2024-09-10;13.77;13.774;13.77;13.774;10191.28
2024-09-11;13.702;13.702;13.702;13.702;1109.862
2024-09-12;13.886;13.886;13.886;13.886;108255.256
2024-09-13;13.934;13.958;13.934;13.958;41840.786
2024-09-17;13.866;13.896;13.866;13.886;20500.262
2024-09-19;13.908;13.934;13.908;13.92;46365.44
2024-09-20;13.996;13.996;13.996;13.996;5178.52
2024-09-23;14.02;14.03;14.02;14.03;15988.88
2024-10-01;14.088;14.088;13.984;13.984;25976.22
2024-10-03;13.828;13.828;13.828;13.828;5254.64
2024-10-04;14.102;14.102;14.102;14.102;5217.74
2024-10-07;13.964;13.982;13.964;13.982;15508.92
2024-10-08;14.044;14.044;14.044;14.044;5196.28
2024-10-10;13.976;13.986;13.966;13.974;25857.82
2024-10-15;14.042;14.042;14.036;14.038;15582.92
2024-10-16;13.978;13.978;13.978;13.978;4640.696
2024-10-25;13.524;13.524;13.524;13.524;5139.12
2024-10-30;13.936;13.936;13.93;13.932;15883.24
2024-10-31;13.724;13.726;13.624;13.624;15608.12
2024-11-01;13.72;13.72;13.72;13.72;5076.4
2024-11-27;13.786;13.786;13.762;13.762;9641.8
2024-11-29;13.958;14.0;13.958;14.0;4913.958
2024-12-02;14.166;14.27;14.166;14.27;26597.65
2024-12-12;14.17;14.218;14.17;14.2;18179.37
2024-12-16;13.868;13.868;13.868;13.868;4715.12
2024-12-17;13.822;13.824;13.822;13.824;5833.438
2024-12-19;13.706;13.724;13.672;13.672;129496.884
2024-12-27;13.828;13.828;13.744;13.78;44557.642
2024-12-30;13.672;13.692;13.658;13.674;42113.636
2025-01-02;13.718;13.844;13.718;13.842;28883.06
2025-01-03;13.728;13.728;13.704;13.71;19198.2
2025-01-06;13.756;13.766;13.756;13.766;18715.64
2025-01-07;13.844;13.844;13.844;13.844;4845.4
2025-01-08;13.746;13.746;13.746;13.746;1113.426
2025-01-13;13.562;13.58;13.562;13.57;12034.73
2025-01-21;13.858;13.858;13.858;13.858;166.296
2025-01-27;13.848;13.848;13.782;13.802;37557.76
2025-01-28;14.068;14.068;14.05;14.05;590.136
2025-01-29;14.142;14.142;14.128;14.128;6051.544
2025-01-31;14.148;14.148;14.148;14.148;4499.064
2025-02-04;13.894;13.894;13.894;13.894;2278.616
2025-02-06;14.22;14.22;14.22;14.22;1222.92
2025-02-13;14.1;14.1;14.1;14.1;4935.0
2025-02-14;14.024;14.024;14.018;14.018;9534.28
2025-02-17;14.166;14.166;14.166;14.166;1997.406
2025-02-18;14.236;14.236;14.214;14.214;108818.444
2025-02-20;14.16;14.16;14.154;14.154;11863.2
2025-02-21;14.202;14.202;14.202;14.202;4828.68
2025-02-24;14.018;14.028;14.018;14.028;9535.97
2025-02-25;14.162;14.162;14.05;14.056;71737.04
2025-03-05;13.758;13.758;13.758;13.758;481.53
2025-03-10;13.446;13.446;13.446;13.446;4840.56
2025-03-12;13.38;13.382;13.372;13.382;14849.58
2025-03-17;13.504;13.54;13.504;13.532;68176.8
2025-03-18;13.412;13.422;13.412;13.422;9660.24
2025-03-19;13.518;13.54;13.518;13.54;14610.24
2025-03-24;13.61;13.61;13.61;13.61;9799.2
2025-04-03;12.756;12.756;12.458;12.458;8286.792
2025-04-17;12.64;12.67;12.64;12.67;113657.94
2025-04-25;13.006;13.006;12.988;12.988;9877.72
2025-05-12;13.612;13.612;13.564;13.564;18378.816
2025-05-14;13.474;13.474;13.378;13.384;23263.758
2025-05-15;13.478;13.536;13.478;13.536;20518.48
2025-05-16;13.636;13.64;13.636;13.64;10364.88
2025-05-19;13.438;13.438;13.434;13.434;10211.36
2025-05-21;13.4;13.4;13.4;13.4;5226.0
2025-05-28;13.616;13.616;13.616;13.616;5310.24
2025-05-29;13.544;13.544;13.544;13.544;5282.16
2025-06-05;13.288;13.288;13.288;13.288;13.288
2025-06-10;13.512;13.512;13.512;13.512;10539.36
2025-06-16;13.388;13.388;13.388;13.388;26.776
2025-06-17;13.32;13.328;13.32;13.328;10659.2
2025-06-18;13.482;13.482;13.482;13.482;5392.8
2025-06-25;13.32;13.32;13.32;13.32;5328.0
2025-06-27;13.584;13.584;13.584;13.584;5297.76
2025-06-30;13.624;13.628;13.592;13.594;31841.94
2025-07-02;13.37;13.37;13.37;13.37;2714.11
2025-07-07;13.264;13.264;13.264;13.264;2692.592
2025-07-29;13.612;13.612;13.612;13.612;5308.68
2025-08-06;13.796;13.796;13.796;13.796;5242.48
