Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-09-15;5.01;5.026;5.01;5.026;117703.26
2023-09-18;5.054;5.054;5.015;5.025;137986.29
2023-09-19;5.017;5.046;5.011;5.016;56253.024
2023-09-20;5.015;5.019;5.015;5.019;237593.41
2023-09-21;5.018;5.034;5.005;5.005;86219.32
2023-09-22;5.014;5.02;5.014;5.018;80239.44
2023-09-25;5.016;5.032;5.01;5.016;72897.768
2023-09-26;5.011;5.016;5.01;5.016;85228.598
2023-09-27;5.023;5.042;5.01;5.01;678046.977
2023-09-28;5.013;5.034;5.013;5.014;60447.983
2023-09-29;5.023;5.027;5.019;5.019;99894.664
2023-10-02;5.017;5.022;5.01;5.019;364234.382
2023-10-03;5.019;5.031;5.015;5.015;165511.528
2023-10-04;5.015;5.051;5.011;5.02;110812.41
2023-10-05;5.024;5.031;5.008;5.008;365395.254
2023-10-06;5.024;5.024;5.015;5.015;57716.395
2023-10-09;5.044;5.044;5.016;5.025;151847.654
2023-10-10;5.03;5.031;5.025;5.029;258111.005
2023-10-11;5.027;5.031;5.025;5.029;59815.986
2023-10-12;5.043;5.043;5.022;5.023;187414.125
2023-10-13;5.025;5.031;5.02;5.02;403311.946
2023-10-16;5.024;5.034;5.02;5.02;301151.236
2023-10-17;5.025;5.025;5.02;5.021;90453.27
2023-10-18;5.021;5.022;5.017;5.018;135348.311
2023-10-19;5.02;5.021;5.017;5.02;255563.15
2023-10-20;5.015;5.023;5.015;5.023;117440.512
2023-10-23;5.034;5.034;5.02;5.024;516833.663
2023-10-24;5.038;5.038;5.029;5.031;139893.26
2023-10-25;5.028;5.032;5.026;5.032;69718.163
2023-10-26;5.015;5.031;5.013;5.031;163953.454
2023-10-27;5.028;5.033;5.028;5.029;217448.917
2023-10-30;5.049;5.049;5.028;5.034;196372.111
2023-10-31;5.047;5.047;5.035;5.039;312633.472
2023-11-01;5.038;5.044;5.037;5.044;43572.006
2023-11-02;5.04;5.05;5.039;5.047;304646.994
2023-11-03;5.047;5.052;5.038;5.042;365828.819
2023-11-06;5.054;5.054;5.038;5.038;16136.45
2023-11-07;5.043;5.044;5.036;5.04;148418.611
2023-11-08;5.046;5.049;5.037;5.047;99291.539
2023-11-09;5.047;5.05;5.039;5.047;110341.305
2023-11-10;5.05;5.05;5.039;5.047;65425.508
2023-11-13;5.044;5.049;5.042;5.049;131898.433
2023-11-14;5.047;5.064;5.04;5.064;216635.366
2023-11-15;5.053;5.065;5.05;5.055;259488.683
2023-11-16;5.059;5.06;5.05;5.052;365525.222
2023-11-17;5.061;5.062;5.055;5.062;451050.921
2023-11-20;5.068;5.071;5.051;5.057;624168.104
2023-11-21;5.065;5.079;5.052;5.055;632688.74
2023-11-22;5.058;5.061;5.055;5.055;767347.159
2023-11-23;5.055;5.065;5.055;5.065;202811.064
2023-11-24;5.058;5.058;5.055;5.057;187113.103
2023-11-27;5.059;5.06;5.056;5.06;112829.366
2023-11-28;5.054;5.069;5.054;5.061;271285.574
2023-11-29;5.065;5.074;5.065;5.073;240226.188
2023-11-30;5.078;5.079;5.071;5.071;68784.128
2023-12-01;5.08;5.092;5.076;5.092;181796.151
2023-12-04;5.088;5.089;5.084;5.084;376258.451
2023-12-05;5.088;5.09;5.085;5.085;301061.393
2023-12-06;5.097;5.097;5.085;5.088;112637.075
2023-12-07;5.091;5.093;5.081;5.09;121523.744
2023-12-08;5.09;5.09;5.087;5.087;15549.8
2023-12-11;5.092;5.092;5.08;5.083;165778.323
2023-12-12;5.089;5.093;5.088;5.088;53423.715
2023-12-13;5.092;5.092;5.087;5.09;378170.073
2023-12-14;5.101;5.11;5.096;5.105;278442.523
2023-12-15;5.104;5.108;5.1;5.107;76104.716
2023-12-18;5.105;5.109;5.093;5.104;142747.723
2023-12-19;5.106;5.106;5.095;5.096;173688.644
2023-12-20;5.11;5.117;5.103;5.103;131168.3
2023-12-21;5.118;5.118;5.108;5.112;198625.632
2023-12-22;5.11;5.119;5.11;5.119;29132.49
2023-12-27;5.124;5.124;5.113;5.12;51871.143
2023-12-28;5.127;5.127;5.113;5.123;299818.93
2023-12-29;5.125;5.125;5.125;5.125;25030.5
2024-01-02;5.118;5.118;5.106;5.118;77823.099
2024-01-03;5.112;5.118;5.11;5.115;115546.649
2024-01-04;5.122;5.122;5.109;5.109;83885.519
2024-01-05;5.113;5.113;5.096;5.107;171260.931
2024-01-08;5.111;5.111;5.095;5.095;114655.638
2024-01-09;5.113;5.113;5.099;5.108;267478.436
2024-01-10;5.11;5.111;5.098;5.098;99306.416
2024-01-11;5.108;5.109;5.096;5.096;75118.093
2024-01-12;5.112;5.115;5.105;5.114;246192.418
2024-01-15;5.117;5.117;5.106;5.115;135116.079
2024-01-16;5.115;5.115;5.106;5.112;45257.44
2024-01-17;5.109;5.111;5.099;5.102;217562.896
2024-01-18;5.099;5.11;5.099;5.106;285743.028
