Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-01-26;26.885;26.885;26.885;26.885;11022.85
2023-01-27;27.48;27.48;27.18;27.18;142872.36
2023-01-31;25.825;26.035;25.825;26.035;379792.74
2023-02-01;26.425;26.45;26.425;26.45;21678.75
2023-02-02;26.06;26.15;25.94;25.94;104638.95
2023-02-03;25.91;25.92;25.845;25.845;157109.29
2023-02-07;25.11;25.615;25.11;25.615;31203.05
2023-02-10;25.43;25.43;25.43;25.43;10426.3
2023-02-14;25.475;25.475;25.475;25.475;10444.75
2023-02-15;25.34;25.34;25.34;25.34;4282.46
2023-02-22;24.625;24.685;24.46;24.46;33183.215
2023-02-28;23.78;23.78;23.78;23.78;9749.8
2023-03-21;23.565;23.565;23.565;23.565;9661.65
2023-03-22;23.69;23.7;23.69;23.7;19429.9
2023-03-28;24.24;24.275;24.24;24.275;29839.8
2023-04-05;23.96;24.06;23.96;24.06;27619.26
2023-06-09;22.72;22.72;22.72;22.72;9315.2
2023-10-27;21.535;21.535;21.535;21.535;8829.35
2023-11-01;21.29;21.29;21.21;21.21;99719.8
2023-11-02;21.275;21.275;21.215;21.23;99782.1
2023-11-03;21.755;21.755;21.585;21.585;13962.275
2023-11-06;21.815;21.815;21.73;21.73;16544.55
2023-11-09;21.625;21.695;21.625;21.695;23184.95
2023-11-10;21.185;21.185;21.185;21.185;8685.85
2023-11-16;21.315;21.315;21.315;21.315;27197.94
2023-11-17;21.095;21.1;21.095;21.1;26921.6
2023-11-20;21.38;21.38;21.38;21.38;8765.8
2023-11-24;21.285;21.285;21.285;21.285;8726.85
2024-02-13;19.562;19.736;19.542;19.672;133099.2
2024-02-19;20.055;20.055;20.055;20.055;2045.61
2024-02-20;20.115;20.115;19.882;19.882;16398.77
2024-02-21;20.375;20.375;20.375;20.375;326.0
2024-02-27;20.65;20.65;20.65;20.65;2498.65
2024-02-28;20.325;20.325;20.325;20.325;8333.25
2024-02-29;20.34;20.34;20.305;20.305;10786.19
2024-03-01;20.48;20.48;20.455;20.455;16783.35
2024-04-15;20.87;20.87;20.87;20.87;2003.52
2024-04-26;21.875;21.875;21.875;21.875;1093.75
2024-06-04;22.25;22.25;22.25;22.25;5228.75
2024-07-17;21.755;21.755;21.755;21.755;870.2
2024-07-29;21.175;21.175;21.175;21.175;847.0
2024-07-31;21.45;21.455;21.37;21.37;17704.575
2024-08-01;21.37;21.37;21.245;21.245;23387.255
2024-08-07;20.895;20.895;20.86;20.875;53453.805
2024-08-28;20.56;20.56;20.45;20.45;33593.35
2024-09-09;20.355;20.355;20.355;20.355;1994.79
2024-09-13;20.355;20.355;20.355;20.355;5068.395
2024-09-19;20.93;20.93;20.915;20.915;19542.705
2024-09-20;21.01;21.025;20.995;21.025;38657.845
2024-09-25;22.26;22.26;22.155;22.155;17766.43
2024-09-26;24.345;24.485;24.345;24.485;14731.54
2024-10-10;26.475;26.475;26.475;26.475;476.55
2024-10-11;25.66;25.66;25.66;25.66;9622.5
2024-10-22;25.89;25.89;25.89;25.89;10356.0
2024-10-25;25.46;25.46;25.45;25.45;20873.1
2024-11-15;25.075;25.075;25.04;25.06;48113.675
2025-02-14;28.47;28.47;28.47;28.47;1138.8
2025-02-20;28.94;29.605;28.94;29.605;42019.425
2025-02-28;28.995;29.0;28.995;29.0;3624.8
2025-03-13;28.5;28.5;28.5;28.5;712.5
2025-04-04;25.535;25.535;25.535;25.535;2196.01
2025-04-08;23.415;24.265;22.835;24.265;3624.57
2025-05-23;26.95;26.95;26.95;26.95;269.5
2025-06-09;26.965;26.97;26.965;26.97;3020.18
2025-06-16;25.885;25.975;25.885;25.975;3366.67
2025-07-24;27.885;27.965;27.885;27.965;10740.125
2025-07-31;27.76;27.76;27.73;27.73;13813.17
2025-08-27;28.77;28.77;28.77;28.77;6444.48
2025-08-29;28.92;29.18;28.92;29.155;4750.095
2025-09-17;30.88;30.88;30.88;30.88;1111.68
2025-09-22;30.425;30.425;30.425;30.425;547.65
2025-09-23;30.35;30.35;30.175;30.28;1543.44
