Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-07-07;92.52;92.52;92.52;92.52;4626.0
2022-07-13;92.75;92.93;92.75;92.93;19688.2
2022-08-02;93.25;93.25;93.25;93.25;4662.5
2022-09-15;94.0;94.0;94.0;94.0;564.0
2022-10-17;93.79;93.79;93.79;93.79;468.95
2022-11-01;93.58;93.58;93.58;93.58;187.16
2022-12-14;92.73;92.73;92.73;92.73;16505.94
2022-12-19;92.86;92.86;92.86;92.86;5014.44
2023-01-02;92.65;92.65;92.65;92.65;1019.15
2023-01-16;92.54;92.54;92.54;92.54;3979.22
2023-03-16;93.45;93.85;93.45;93.85;10294.7
2023-03-22;93.25;93.25;93.03;93.03;10249.14
2023-05-15;94.48;94.48;94.48;94.48;6802.56
2023-05-24;95.06;95.06;95.06;95.06;190.12
2023-05-26;94.72;94.72;94.72;94.72;189.44
2023-06-06;95.12;95.3;95.12;95.3;20000.04
2023-07-10;95.33;95.33;95.33;95.33;2669.24
2023-08-22;96.68;96.68;96.68;96.68;290.04
2023-09-01;96.53;96.53;96.53;96.53;96.53
2023-12-29;97.65;97.66;97.65;97.66;31151.54
2024-01-02;97.22;97.22;96.98;96.98;30983.78
2024-01-18;98.2;98.2;98.2;98.2;5990.2
2024-01-26;98.25;98.25;98.25;98.25;98.25
2024-01-29;98.18;98.18;98.18;98.18;3927.2
2024-02-07;98.6;98.7;98.6;98.7;85948.56
2024-02-09;98.75;98.75;98.75;98.75;1975.0
2024-02-20;98.86;98.86;98.69;98.69;5134.6
2024-03-01;99.17;99.17;99.17;99.17;6049.37
2024-03-07;99.86;99.86;99.86;99.86;99.86
2024-03-08;99.81;99.81;99.81;99.81;2994.3
2024-04-15;100.54;100.54;100.35;100.35;264729.7
2024-04-16;100.11;100.11;100.11;100.11;1601.76
2024-04-25;100.27;100.27;100.27;100.27;5414.58
2024-05-22;100.61;100.61;100.61;100.61;7445.14
2024-06-10;101.0;101.0;101.0;101.0;5050.0
2024-06-12;101.36;101.36;101.36;101.36;4054.4
2024-07-08;101.57;101.57;101.57;101.57;5078.5
2024-07-17;101.83;101.83;101.64;101.65;1060241.46
2024-07-24;101.95;101.96;101.95;101.96;124389.3
2024-07-31;102.26;102.26;102.15;102.15;163348.78
2024-08-06;102.42;102.42;102.24;102.31;573114.02
2024-08-09;102.42;102.42;102.42;102.42;4916.16
2024-08-16;102.19;102.2;102.18;102.19;761203.05
2024-08-27;102.52;102.52;102.51;102.51;1025.15
2024-08-28;102.57;102.57;102.57;102.57;12103.26
2024-08-30;102.45;102.45;102.43;102.43;315617.64
2024-09-06;102.73;102.73;102.73;102.73;62048.92
2024-09-16;103.32;103.33;103.32;103.33;3409.59
2024-09-17;103.35;103.35;103.34;103.34;45264.82
2024-09-19;103.55;103.55;103.55;103.55;4142.0
2024-09-23;103.42;103.42;103.41;103.41;209932.45
2024-09-24;103.64;103.64;103.19;103.19;2171.04
2024-09-26;103.33;103.33;103.33;103.33;413.32
2024-09-30;102.7;102.7;102.7;102.7;104856.7
2024-10-01;102.95;102.95;102.9;102.9;151519.9
2024-10-08;102.64;102.64;102.26;102.26;685569.69
2024-10-09;102.39;103.11;102.39;102.5;240656.92
2024-10-10;102.99;102.99;102.99;102.99;5664.45
2024-10-14;103.12;103.24;103.02;103.02;629791.36
2024-11-01;103.54;103.54;103.54;103.54;5177.0
2024-11-04;103.27;103.27;103.23;103.26;520178.82
2024-11-08;103.52;103.52;103.52;103.52;10352.0
2024-11-11;103.74;103.74;103.4;103.4;23532.32
2024-11-12;103.59;103.59;103.59;103.59;2175.39
2024-11-22;103.76;103.76;103.76;103.76;10168.48
2024-12-02;104.58;104.58;104.58;104.58;5229.0
2025-01-06;106.8;106.8;106.8;106.8;105304.8
2025-01-07;106.41;106.41;106.4;106.4;79379.08
2025-01-09;106.56;106.56;106.56;106.56;1278.72
2025-01-29;106.22;106.22;106.22;106.22;106.22
2025-01-31;106.62;106.62;106.45;106.45;440208.92
2025-02-03;105.63;105.89;105.63;105.89;61712.36
2025-02-04;105.95;105.97;105.95;105.97;137959.47
2025-02-05;106.29;106.29;105.57;106.17;829562.61
2025-02-27;105.0;105.0;105.0;105.0;3150.0
2025-04-09;106.31;106.31;106.31;106.31;250891.6
2025-04-23;106.48;106.48;106.48;106.48;2129.6
2025-04-24;106.25;106.25;106.25;106.25;318.75
2025-04-29;106.57;106.57;106.57;106.57;852.56
2025-05-06;106.79;106.79;106.79;106.79;640.74
2025-05-07;106.47;106.47;106.46;106.46;2874.59
2025-05-13;106.05;106.57;106.05;106.57;1698.36
2025-05-14;106.38;106.38;106.38;106.38;3936.06
2025-05-20;106.46;106.46;106.46;106.46;1490.44
2025-05-21;106.5;106.5;106.5;106.5;1384.5
2025-05-27;106.5;106.5;106.5;106.5;2023.5
2025-05-28;106.45;106.45;106.45;106.45;2235.45
2025-06-04;106.5;106.5;106.5;106.5;958.5
2025-06-05;106.48;106.48;106.48;106.48;319.44
2025-06-10;106.71;106.71;106.71;106.71;853.68
2025-06-17;106.9;106.9;106.9;106.9;1175.9
2025-06-18;106.98;106.98;106.98;106.98;1390.74
2025-06-24;106.89;106.98;106.89;106.98;2138.97
2025-07-01;106.94;106.94;106.94;106.94;320.82
2025-07-08;107.07;107.07;107.07;107.07;963.63
2025-07-15;107.04;107.04;107.04;107.04;1712.64
2025-07-17;107.02;107.02;107.02;107.02;642.12
2025-07-18;107.24;107.24;107.24;107.24;2144.8
2025-07-21;107.54;107.54;107.54;107.54;10216.3
2025-07-22;106.88;106.88;106.88;106.88;641.28
2025-07-29;106.63;106.63;106.63;106.63;639.78
2025-08-05;106.94;106.94;106.94;106.94;2566.56
2025-08-06;107.13;107.13;107.13;107.13;2571.12
2025-08-12;106.78;106.78;106.78;106.78;3310.18
2025-08-13;106.47;106.47;106.47;106.47;1277.64
2025-08-26;106.61;106.61;106.61;106.61;959.49
2025-08-27;106.53;106.53;106.53;106.53;426.12
2025-09-02;106.45;106.45;106.45;106.45;1277.4
2025-09-03;106.92;106.92;106.92;106.92;748.44
2025-09-09;106.25;106.25;106.25;106.25;2656.25
2025-09-10;106.1;106.1;106.1;106.1;5517.2
2025-09-16;105.92;106.37;105.92;106.37;3933.89
2025-09-23;106.21;106.52;105.95;106.52;395098.47
2025-09-25;106.41;106.41;106.41;106.41;105026.67
