Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2016-02-29;28.165;28.31;28.115;28.295;2641210.0
2016-03-01;;;;28.295;
2016-03-02;;;;28.295;
2016-03-03;;;;28.295;
2016-03-04;;;;28.295;
2016-03-07;;;;28.295;
2016-03-08;;;;28.295;
2016-03-09;;;;28.295;
2016-03-10;29.665;29.665;29.445;29.455;613808.0
2016-03-11;;;;29.455;
2016-03-14;;;;29.455;
2016-03-15;29.44;29.44;29.44;29.44;153088.0
2016-03-16;;;;29.44;
2016-03-17;;;;29.44;
2016-03-18;;;;29.44;
2016-03-21;;;;29.44;
2016-03-22;;;;29.44;
2016-03-23;;;;29.44;
2016-03-24;;;;29.44;
2016-03-29;;;;29.44;
2016-03-30;;;;29.44;
2016-03-31;;;;29.44;
2016-04-01;;;;29.44;
2016-04-04;;;;29.44;
2016-04-05;;;;29.44;
2016-04-06;;;;29.44;
2016-04-07;;;;29.44;
2016-04-08;;;;29.44;
2016-04-11;;;;29.44;
2016-04-12;;;;29.44;
2016-04-13;;;;29.44;
2016-04-14;;;;29.44;
2016-04-15;;;;29.44;
2016-04-18;;;;29.44;
2016-04-19;;;;29.44;
2016-04-20;;;;29.44;
2016-04-21;;;;29.44;
2016-04-22;30.57;30.57;30.57;30.57;158964.0
2016-04-25;;;;30.57;
2016-04-26;;;;30.57;
2016-04-27;30.11;30.11;30.11;30.11;156572.0
2016-04-28;;;;30.11;
2016-04-29;;;;30.11;
2016-05-02;;;;30.11;
2016-05-03;;;;30.11;
2016-05-04;;;;30.11;
2016-05-05;;;;30.11;
2016-05-06;;;;30.11;
2016-05-09;;;;30.11;
2016-05-10;;;;30.11;
2016-05-11;28.94;28.94;28.94;28.94;150488.0
2016-05-12;;;;28.94;
2016-05-13;;;;28.94;
2016-05-16;;;;28.94;
2016-05-17;;;;28.94;
2016-05-18;;;;28.94;
2016-05-19;;;;28.94;
2016-05-20;;;;28.94;
2016-05-23;;;;28.94;
2016-05-24;;;;28.94;
2016-05-25;;;;28.94;
2016-05-26;;;;28.94;
2016-05-27;;;;28.94;
2016-05-30;;;;28.94;
2016-05-31;;;;28.94;
2016-06-01;;;;28.94;
2016-06-02;;;;28.94;
2016-06-03;;;;28.94;
2016-06-06;;;;28.94;
2016-06-07;;;;28.94;
2016-06-08;;;;28.94;
2016-06-09;;;;28.94;
2016-06-10;;;;28.94;
2016-06-13;;;;28.94;
