Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-01-19;6.952;6.952;6.952;6.952;69.52
2023-01-27;7.048;7.048;7.048;7.048;1762.0
2023-12-01;7.535;7.535;7.535;7.535;226.05
2024-02-23;8.384;8.384;8.384;8.384;2096.0
2024-04-05;8.558;8.558;8.558;8.558;8044.52
2024-05-03;8.471;8.492;8.471;8.481;67033.246
2024-06-03;8.491;8.491;8.491;8.491;849.1
2024-08-22;8.586;8.586;8.576;8.576;19375.898
2024-08-29;8.733;8.733;8.733;8.733;9859.557
2024-08-30;8.768;8.768;8.768;8.768;19798.144
2024-09-11;8.413;8.413;8.413;8.413;9498.277
2024-09-16;8.502;8.502;8.502;8.502;9598.758
2024-09-27;8.63;8.63;8.63;8.63;9743.27
2024-10-01;8.731;8.731;8.731;8.731;9857.299
2024-10-04;8.732;8.732;8.732;8.732;9858.428
2024-10-31;8.439;8.439;8.439;8.439;9527.631
2024-11-15;8.607;8.607;8.607;8.607;9717.303
2024-11-19;8.613;8.613;8.61;8.61;29168.844
2025-02-11;9.151;9.151;9.151;9.151;91.51
2025-03-03;9.14;9.14;9.14;9.14;10319.06
2025-03-05;8.87;8.87;8.87;8.87;10014.23
2025-03-06;8.897;8.897;8.883;8.883;29568.567
2025-03-31;8.675;8.676;8.664;8.664;78323.246
2025-04-09;7.786;7.8;7.786;7.8;17596.594
2025-06-18;8.814;8.814;8.814;8.814;1322.1
2025-06-30;8.87;8.87;8.87;8.87;1844.96
2025-07-21;8.611;8.611;8.611;8.611;1791.088
