Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-08-19;10.324;10.324;10.324;10.324;2064.8
2022-08-30;10.25;10.25;10.25;10.25;2050.0
2022-10-17;9.307;9.314;9.291;9.291;76775.246
2022-11-01;9.059;9.059;9.055;9.055;10143.84
2022-11-03;9.096;9.096;9.084;9.084;9999.0
2022-11-10;9.369;9.424;9.369;9.416;40616.1
2022-11-11;9.575;9.575;9.558;9.558;130540.52
2022-11-16;9.465;9.465;9.371;9.371;14997.94
2022-11-17;9.349;9.349;9.265;9.308;59196.76
2022-11-21;9.331;9.331;9.328;9.33;14834.17
2022-11-22;9.358;9.367;9.358;9.367;10111.5
2022-11-24;9.368;9.368;9.368;9.368;5058.72
2022-11-28;9.141;9.141;9.141;9.141;457.05
2022-12-05;9.461;9.461;9.458;9.458;9837.88
2022-12-28;9.142;9.142;9.142;9.142;5028.1
2023-01-10;9.64;9.64;9.64;9.64;964.0
2023-01-13;9.695;9.695;9.695;9.695;969.5
2023-01-25;9.8;9.8;9.8;9.8;980.0
2023-01-31;9.693;9.693;9.693;9.693;969.3
2023-02-15;9.597;9.597;9.597;9.597;4894.47
2023-02-16;9.619;9.622;9.6;9.601;24987.04
2023-02-20;9.581;9.582;9.581;9.582;9964.76
2023-02-22;9.356;9.361;9.356;9.361;14881.34
2023-02-23;9.489;9.495;9.489;9.495;20124.63
2023-02-24;9.369;9.372;9.327;9.328;24764.25
2023-03-06;9.543;9.543;9.543;9.543;5057.79
2023-03-15;9.005;9.005;8.994;8.994;19800.55
2023-03-17;9.122;9.122;9.074;9.074;35009.15
2023-03-23;9.147;9.147;9.147;9.147;5030.85
2023-04-14;9.221;9.221;9.215;9.215;9771.08
2023-04-17;9.298;9.298;9.298;9.298;4927.94
2023-07-20;9.307;9.307;9.306;9.306;9864.89
2023-08-02;9.487;9.487;9.463;9.467;136959.873
2023-08-03;9.419;9.419;9.412;9.412;14971.97
2023-08-11;9.241;9.241;9.211;9.211;34199.31
2023-08-22;9.043;9.053;9.042;9.043;40528.88
2023-08-23;9.104;9.104;9.104;9.104;5007.2
2023-09-11;9.224;9.224;9.224;9.224;4980.96
2023-09-12;9.219;9.219;9.211;9.211;14929.38
2023-09-15;9.336;9.336;9.327;9.327;45356.76
2023-09-19;9.171;9.172;9.158;9.158;34649.64
2023-09-21;9.018;9.018;8.993;8.995;39591.75
2023-09-22;9.125;9.134;9.117;9.117;30122.4
2023-09-25;9.068;9.071;9.061;9.071;29917.8
2023-09-27;9.052;9.06;9.052;9.06;9961.6
2023-09-28;8.995;8.995;8.991;8.991;10072.16
2023-09-29;9.101;9.101;9.069;9.069;15256.08
2023-10-05;8.843;8.843;8.843;8.843;4952.08
2023-10-06;8.91;8.91;8.91;8.91;4989.6
2023-10-11;9.085;9.112;9.085;9.112;10008.35
2023-10-19;8.864;8.864;8.864;8.864;4963.84
2023-10-31;8.663;8.663;8.663;8.663;4937.91
2023-11-03;8.929;8.929;8.922;8.923;19990.88
2023-11-06;9.087;9.088;9.078;9.078;24980.45
2023-11-29;8.988;8.988;8.988;8.988;4943.4
2023-12-04;9.092;9.092;9.091;9.091;10000.65
2023-12-13;9.082;9.082;9.082;9.082;5085.92
2023-12-15;9.253;9.253;9.253;9.253;4996.62
2023-12-18;9.191;9.191;9.191;9.191;4963.14
2023-12-21;9.187;9.187;9.173;9.176;34693.92
2023-12-22;9.15;9.166;9.15;9.166;9890.64
2023-12-27;9.21;9.221;9.207;9.221;135267.791
2024-01-25;9.219;9.219;9.219;9.219;5070.45
2024-04-16;9.551;9.554;9.551;9.554;9743.55
2024-07-09;10.372;10.392;10.372;10.386;15263.5
2024-07-10;10.43;10.43;10.43;10.43;5006.4
2024-07-16;10.438;10.438;10.438;10.438;5114.62
2024-07-26;10.07;10.07;10.068;10.068;10069.0
2024-09-06;10.066;10.066;10.034;10.034;10050.0
2024-10-10;10.986;10.988;10.986;10.988;10327.78
2024-10-14;10.984;10.984;10.984;10.984;5162.48
2024-11-07;10.882;10.882;10.882;10.882;5114.54
2024-11-12;10.622;10.622;10.622;10.622;4153.202
2024-11-21;10.564;10.584;10.522;10.584;30077.41
2025-01-13;10.438;10.438;10.438;10.438;1043.8
2025-02-19;11.23;11.23;11.23;11.23;1347.6
2025-03-03;10.75;10.75;10.75;10.75;1290.0
2025-03-04;10.68;10.684;10.666;10.666;33629.4
2025-03-05;10.63;10.63;10.63;10.63;4889.8
2025-03-06;10.686;10.686;10.668;10.668;24345.84
2025-03-10;10.456;10.456;10.456;10.456;4809.76
2025-03-11;10.378;10.378;10.378;10.378;4400.272
2025-03-18;10.744;10.744;10.744;10.744;4942.24
2025-03-24;10.742;10.742;10.742;10.742;4833.9
2025-04-16;9.708;9.708;9.708;9.708;9708.0
2025-04-22;9.593;9.648;9.593;9.648;14238.606
2025-04-24;10.052;10.07;10.052;10.07;10927.38
2025-04-29;10.09;10.112;10.09;10.112;5045.44
2025-05-09;10.49;10.514;10.49;10.514;10501.76
2025-05-12;10.932;10.932;10.932;10.932;10932.0
2025-05-13;10.778;10.794;10.778;10.794;15959.12
2025-05-15;10.834;10.834;10.834;10.834;10834.0
2025-05-23;10.58;10.58;10.58;10.58;2116.0
2025-06-02;10.392;10.43;10.374;10.408;29101.2
2025-06-09;10.79;10.79;10.79;10.79;5287.1
2025-06-13;10.652;10.652;10.652;10.652;95.868
2025-07-04;10.786;10.786;10.78;10.78;17256.94
2025-07-08;10.832;10.848;10.828;10.848;16246.2
2025-07-09;10.816;10.834;10.816;10.834;10825.18
2025-07-14;10.814;10.814;10.814;10.814;64.884
2025-07-17;11.082;11.112;11.082;11.112;11097.6
2025-07-18;11.104;11.112;11.104;11.112;22204.888
2025-08-13;11.312;11.312;11.312;11.312;67.872
2025-09-16;11.85;11.85;11.768;11.794;11798.84
2025-09-22;11.88;11.88;11.88;11.88;950.4
