Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-01-18;4.748;4.75;4.7;4.7;4373.612
2023-01-20;4.6385;4.6815;4.6385;4.6815;6307.12
2023-01-24;4.8305;4.84;4.8305;4.84;12091.575
2023-01-26;4.8045;4.8155;4.8045;4.8155;1076.263
2023-01-27;4.813;4.8785;4.813;4.8785;5310.675
2023-01-30;4.8655;4.8655;4.84;4.851;11521.097
2023-01-31;4.8275;4.8275;4.8275;4.8275;2148.2375
2023-02-01;4.856;4.856;4.7935;4.804;227752.516
2023-02-02;4.9965;5.079;4.9915;5.079;6803.54
2023-02-03;5.062;5.062;5.041;5.053;30308.4
2023-02-06;5.036;5.036;5.036;5.036;10021.64
2023-02-07;5.09;5.098;5.086;5.086;10226.172
2023-02-08;5.125;5.126;5.064;5.072;23748.64
2023-02-10;5.022;5.03;4.9715;4.9715;4594.4175
2023-02-13;4.9765;4.9765;4.9765;4.9765;995.3
2023-02-14;4.9995;5.022;4.9995;5.001;4308.6945
2023-02-15;5.087;5.138;5.076;5.121;126054.795
2023-02-16;5.171;5.171;5.12;5.12;3371.847
2023-02-17;5.038;5.057;5.01;5.01;13524.924
2023-02-20;5.013;5.027;5.013;5.02;31680.14
2023-02-21;4.9835;4.9835;4.973;4.973;26388.1
2023-02-22;4.915;4.915;4.915;4.915;8011.45
2023-02-23;4.9865;5.0;4.9865;5.0;2997.3
2023-02-24;4.965;4.965;4.952;4.952;24701.7
2023-02-27;4.928;4.9305;4.928;4.9305;1448.957
2023-02-28;4.8715;4.912;4.8715;4.896;18829.276
2023-03-01;4.8975;4.8975;4.87;4.8835;8840.9195
2023-03-02;4.868;4.868;4.868;4.868;7983.52
2023-03-03;4.9595;5.01;4.9595;5.01;4503.7665
2023-03-06;5.046;5.046;5.046;5.046;1513.8
2023-03-07;5.047;5.059;5.047;5.059;25939.34
2023-03-08;5.027;5.042;5.02;5.02;48376.7
2023-03-09;5.021;5.063;5.021;5.063;24023.31
2023-03-10;4.904;4.9195;4.853;4.853;59499.426
2023-03-13;5.0;5.0;4.8;4.8;9700.0
2023-03-14;4.8895;4.8895;4.8895;4.8895;342.265
