Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-11-22;32.72;32.72;32.72;32.72;3272.0
2022-11-23;36.795;36.795;36.795;36.795;3679.5
2022-11-25;35.555;35.555;35.555;35.555;71110.0
2022-11-30;33.63;33.63;33.63;33.63;67260.0
2022-12-22;24.11;24.11;24.11;24.11;964.4
2023-01-04;18.74;18.74;18.74;18.74;1874.0
2023-01-09;18.24;18.24;18.24;18.24;364.8
2023-01-10;16.866;16.866;16.866;16.866;16866.0
2023-01-11;16.986;16.986;16.09;16.09;661.52
2023-01-12;17.342;17.862;17.342;17.862;18235.1
2023-01-18;15.748;15.748;15.748;15.748;472.44
2023-01-23;14.946;14.946;14.946;14.946;74.73
2023-01-25;14.23;14.23;14.23;14.23;597.66
2023-01-26;13.296;13.296;12.938;12.938;4428.24
2023-01-27;13.23;13.664;13.23;13.664;18600.22
2023-01-30;13.052;13.052;13.052;13.052;391.56
2023-01-31;12.826;12.952;12.6;12.952;4363.104
2023-02-01;13.0;13.0;12.274;12.274;3280.75
2023-02-03;11.57;11.57;11.396;11.396;1384.92
2023-02-06;11.636;11.636;11.576;11.576;15683.508
2023-02-07;12.036;12.33;11.844;12.33;14108.52
2023-02-08;11.996;11.996;11.996;11.996;1199.6
2023-02-09;11.592;11.592;11.574;11.574;694.62
2023-02-13;12.302;12.506;11.846;11.846;4900.84
2023-02-14;12.056;12.056;12.056;12.056;1205.6
2023-02-15;12.412;12.412;12.412;12.412;1241.2
2023-02-17;11.44;11.44;11.08;11.08;2662.5
2023-02-20;10.868;11.034;10.868;11.034;5572.928
2023-02-21;10.75;10.75;10.34;10.34;15962.55
2023-02-22;10.084;10.236;10.084;10.236;4613.696
2023-02-23;11.202;11.43;11.17;11.43;14036.564
2023-02-24;11.672;11.802;11.672;11.802;7510.12
2023-02-27;12.212;12.73;12.212;12.564;3926.29
2023-02-28;12.544;12.544;12.544;12.544;8153.6
2023-03-01;12.9;13.052;12.748;12.748;7864.756
2023-03-02;13.096;13.096;13.096;13.096;1964.4
2023-03-03;13.358;13.484;13.358;13.484;561.288
2023-03-06;12.326;12.326;12.26;12.26;2210.76
2023-03-07;12.104;12.554;12.08;12.554;24667.768
2023-03-08;12.628;12.628;12.226;12.226;15621.432
2023-03-09;12.45;12.45;12.45;12.45;1892.4
2023-03-10;11.68;11.714;11.68;11.714;12488.266
2023-03-14;12.59;12.59;12.148;12.148;3062.18
2023-03-15;12.01;12.01;11.544;11.544;6012.2
2023-03-16;11.84;11.97;11.84;11.97;1256.2
