Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-04-25;14.04;14.04;14.04;14.04;15022.8
2019-08-14;14.708;14.708;14.708;14.708;7354.0
2019-10-03;14.74;14.74;14.74;14.74;8401.8
2020-06-08;14.398;14.398;14.398;14.398;71.99
2020-07-07;14.544;14.544;14.544;14.544;54350.928
2020-07-23;14.642;14.642;14.642;14.642;13031.38
2020-09-24;14.672;14.672;14.672;14.672;13058.08
2020-10-15;14.798;14.798;14.798;14.798;73.99
2020-11-06;14.858;14.858;14.858;14.858;19998.868
2020-12-18;14.78;14.78;14.78;14.78;3695.0
2021-01-19;14.736;14.736;14.736;14.736;9828.912
2021-02-01;14.738;14.738;14.738;14.738;4996.182
2021-02-12;14.712;14.712;14.712;14.712;4987.368
2021-04-27;14.506;14.506;14.506;14.506;1450.6
2021-05-26;14.452;14.452;14.448;14.448;86.692
2021-07-08;14.554;14.554;14.554;14.554;9984.044
2021-07-16;14.58;14.58;14.58;14.58;10016.46
2021-07-28;14.656;14.656;14.656;14.656;14.656
2021-08-06;14.692;14.692;14.692;14.692;58.768
2021-08-09;14.7;14.7;14.7;14.7;29.4
2021-08-11;14.688;14.688;14.688;14.688;88.128
2021-08-18;14.682;14.682;14.682;14.682;1468.2
2021-09-01;14.586;14.586;14.586;14.586;1400.256
2021-10-28;14.316;14.316;14.316;14.316;14.316
2021-11-30;14.508;14.508;14.508;14.508;10155.6
2021-12-15;14.43;14.43;14.43;14.43;10101.0
2022-03-28;13.402;13.402;13.402;13.402;134.02
2022-03-30;13.394;13.394;13.394;13.394;133.94
2022-04-20;13.098;13.14;13.098;13.14;3942.54
2022-04-22;13.054;13.054;13.054;13.054;13.054
2022-05-04;12.92;12.92;12.92;12.92;258.4
2022-06-29;12.402;12.402;12.402;12.402;229747.05
2022-08-24;12.588;12.588;12.588;12.588;7099.632
2022-11-10;11.946;11.946;11.946;11.946;102735.6
2023-01-31;11.852;11.852;11.852;11.852;1066.68
2023-02-15;11.792;11.792;11.792;11.792;23.584
2023-03-15;11.802;11.802;11.802;11.802;23.604
2023-03-24;12.1;12.104;12.1;12.1;2420.204
2023-04-17;11.798;11.798;11.798;11.798;23.596
2023-05-15;11.928;11.928;11.928;11.928;23.856
2023-06-15;11.826;11.826;11.826;11.826;59.13
2023-06-28;11.93;11.93;11.93;11.93;596.5
2023-07-17;11.858;11.858;11.858;11.858;23.716
2023-07-19;11.998;11.998;11.998;11.998;22796.2
2023-07-25;11.888;11.888;11.888;11.888;1069.92
2023-07-27;11.866;11.866;11.866;11.866;3559.8
2023-07-28;11.852;11.852;11.852;11.852;20148.4
2023-08-01;11.882;11.882;11.84;11.84;59.368
2023-08-16;11.766;11.766;11.766;11.766;58.83
2023-09-01;11.892;11.892;11.892;11.892;166.488
2023-09-06;11.796;11.796;11.796;11.796;23592.0
2023-09-14;11.764;11.764;11.764;11.764;11764.0
2023-09-15;11.76;11.768;11.76;11.768;11501.504
2023-09-25;11.688;11.688;11.688;11.688;2337.6
2023-10-02;11.626;11.626;11.6;11.6;13931.626
2023-10-16;11.69;11.69;11.69;11.69;2641.94
2023-11-01;11.756;11.776;11.756;11.776;624.108
2023-11-15;11.886;11.886;11.886;11.886;154.518
2023-11-20;11.906;11.906;11.906;11.906;250.026
2023-11-21;11.922;11.922;11.922;11.922;23.844
