Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-06-22;16.416;16.424;16.338;16.338;9678.02
2021-06-23;16.338;16.338;16.338;16.338;5064.78
2021-06-29;16.392;16.392;16.392;16.392;1639.2
2021-07-20;16.324;16.324;16.324;16.324;3819.816
2021-08-16;17.112;17.112;17.112;17.112;239.568
2021-08-20;16.844;16.844;16.844;16.844;42110.0
2021-09-01;16.92;16.92;16.92;16.92;3231.72
2021-11-08;17.58;17.58;17.58;17.58;4922.4
2021-11-15;17.902;17.902;17.902;17.902;1790.2
2021-12-03;17.632;17.632;17.632;17.632;8816.0
2021-12-17;18.204;18.204;18.148;18.148;508.564
2021-12-20;17.624;17.624;17.624;17.624;9992.808
2021-12-21;17.812;17.812;17.812;17.812;498.736
2021-12-28;18.152;18.226;18.152;18.226;510.254
2022-01-05;18.716;18.716;18.674;18.674;747.8
2022-01-10;18.656;18.656;18.656;18.656;503.712
2022-01-13;18.49;18.49;18.49;18.49;13867.5
2022-01-18;18.516;18.516;18.516;18.516;1110.96
2022-01-20;18.3;18.3;18.3;18.3;18300.0
2022-01-24;17.532;17.532;17.532;17.532;3015.504
2022-01-31;18.01;18.01;18.01;18.01;2017.12
2022-02-01;18.118;18.212;18.118;18.212;2663.534
2022-02-04;17.99;17.99;17.99;17.99;18043.97
2022-02-10;17.94;17.94;17.93;17.93;81696.15
2022-02-11;17.82;17.866;17.82;17.866;11786.96
2022-02-15;17.748;17.81;17.748;17.798;18770.36
2022-03-01;18.134;18.134;18.134;18.134;36.268
2022-03-07;18.552;18.552;18.552;18.552;1038.912
2022-03-08;18.59;18.59;18.59;18.59;5577.0
2022-03-09;18.428;18.428;18.378;18.378;7965.724
2022-03-11;18.41;18.41;18.41;18.41;9205.0
2022-03-24;18.7;18.7;18.7;18.7;14960.0
2022-03-29;18.898;18.898;18.898;18.898;1492.942
2022-03-30;18.882;18.882;18.882;18.882;698.634
2022-04-01;18.822;18.902;18.822;18.902;3350.556
2022-04-04;19.0;19.0;19.0;19.0;5548.0
2022-04-05;19.114;19.114;19.114;19.114;1529.12
2022-04-07;19.03;19.03;19.03;19.03;951.5
2022-04-12;19.238;19.238;19.238;19.238;769.52
2022-04-13;19.308;19.308;19.308;19.308;2548.656
2022-04-19;19.398;19.398;19.398;19.398;969.9
2022-04-20;19.73;19.73;19.73;19.73;3018.69
2022-04-22;19.68;19.68;19.68;19.68;10922.4
2022-04-25;19.262;19.302;19.262;19.302;315445.446
2022-04-27;19.428;19.428;19.428;19.428;233.136
2022-05-02;19.246;19.334;19.246;19.334;1520.61
2022-05-06;19.188;19.218;19.188;19.218;4419.54
2022-05-12;18.782;18.95;18.782;18.95;2458.46
2022-06-01;19.164;19.164;19.164;19.164;38.328
2022-06-13;18.402;18.402;18.402;18.402;60726.6
2022-06-15;18.148;18.148;18.096;18.096;6349.2
2022-06-22;17.584;17.584;17.528;17.528;207406.584
2022-07-01;18.444;18.444;18.444;18.444;36.888
2022-07-06;18.824;18.824;18.824;18.824;12630.904
2022-07-20;18.902;18.902;18.902;18.902;1077.414
2022-07-21;19.016;19.016;19.016;19.016;10420.768
2022-07-28;19.424;19.424;19.424;19.424;7789.024
2022-08-01;19.74;19.74;19.74;19.74;39.48
2022-08-16;20.74;20.74;20.74;20.74;20.74
2022-09-01;19.916;19.916;19.916;19.916;39.832
2022-09-07;19.932;19.98;19.932;19.98;9200.748
2022-09-09;20.08;20.08;20.08;20.08;200.8
2022-09-12;20.225;20.225;20.225;20.225;4045.0
2022-09-14;19.84;19.84;19.84;19.84;3174.4
2022-09-21;19.704;19.704;19.704;19.704;8137.752
2022-09-26;19.154;19.154;19.154;19.154;6895.44
2022-09-27;19.346;19.346;19.346;19.346;3733.778
2022-09-30;18.774;18.774;18.774;18.774;1126.44
2022-10-03;18.726;18.726;18.726;18.726;18.726
2022-10-04;18.91;18.91;18.91;18.91;9455.0
2022-10-05;19.006;19.006;19.006;19.006;10035.168
2022-10-07;19.026;19.026;19.026;19.026;1008.378
2022-10-10;18.838;18.868;18.838;18.868;2921.39
2022-10-11;18.894;18.894;18.894;18.894;5724.882
2022-10-12;18.98;18.982;18.98;18.982;7250.598
2022-10-13;18.642;18.642;18.642;18.642;3728.4
2022-10-14;19.15;19.15;19.15;19.15;2010.75
2022-10-17;19.15;19.15;19.102;19.102;1339.684
2022-10-21;19.036;19.036;19.036;19.036;9993.9
2022-10-25;19.442;19.442;19.442;19.442;97.21
2022-10-26;19.564;19.564;19.564;19.564;19.564
2022-10-27;19.522;19.522;19.522;19.522;3689.658
2022-11-01;20.26;20.26;20.26;20.26;40.52
2022-11-02;20.185;20.185;20.185;20.185;3895.705
2022-11-03;20.015;20.015;19.966;19.966;24008.2
2022-11-04;19.966;19.966;19.966;19.966;1497.45
2022-11-07;19.926;19.956;19.926;19.932;1834.352
2022-11-08;20.075;20.075;20.075;20.075;1003.75
2022-11-09;19.984;19.984;19.984;19.984;19984.0
2022-11-14;20.095;20.095;20.095;20.095;20095.0
2022-11-15;19.888;19.918;19.888;19.918;1710.728
2022-11-22;20.345;20.345;20.345;20.345;1505.53
2022-11-25;20.345;20.415;20.345;20.415;3367.425
2022-11-28;20.145;20.27;20.145;20.27;20732.83
2022-12-02;20.225;20.225;20.225;20.225;60.675
2022-12-07;19.852;19.852;19.852;19.852;29976.52
2022-12-14;19.842;19.842;19.842;19.842;396.84
2022-12-15;19.608;19.608;19.608;19.608;196.08
2022-12-16;19.112;19.128;19.112;19.128;1548.92
2022-12-21;19.42;19.42;19.42;19.42;55327.58
2022-12-22;19.272;19.272;19.272;19.272;501.072
2022-12-27;19.428;19.438;19.428;19.438;2662.746
2022-12-28;19.334;19.384;19.334;19.384;6324.718
2022-12-30;19.116;19.116;19.116;19.116;7646.4
2023-01-02;19.142;19.382;19.142;19.382;8818.02
2023-01-03;19.39;19.546;19.39;19.4;5858.692
2023-01-06;19.546;19.546;19.546;19.546;97.73
2023-01-11;19.302;19.302;19.302;19.302;96.51
2023-01-13;19.186;19.186;19.186;19.186;306.976
2023-01-17;19.338;19.338;19.338;19.338;193.38
2023-01-23;18.812;18.834;18.812;18.834;376.46
2023-01-26;18.856;18.856;18.856;18.856;1885.6
2023-01-27;18.944;18.944;18.932;18.932;2083.72
2023-01-31;18.932;18.932;18.932;18.932;1893.2
2023-02-01;19.066;19.066;19.034;19.034;4684.396
2023-02-02;19.168;19.45;19.168;19.45;7032.15
2023-02-03;19.444;19.444;19.444;19.444;583.32
2023-02-06;19.44;19.44;19.44;19.44;1302.48
2023-02-07;19.48;19.482;19.44;19.44;28337.1
2023-02-08;19.438;19.438;19.438;19.438;19.438
2023-02-09;19.232;19.232;19.232;19.232;96.16
2023-02-13;19.214;19.214;19.214;19.214;25516.192
2023-02-15;19.306;19.306;19.306;19.306;386.12
2023-02-20;19.362;19.362;19.354;19.354;2284.556
2023-03-01;18.954;18.954;18.954;18.954;2065.986
2023-03-03;19.058;19.058;19.058;19.058;80043.6
2023-03-10;18.388;18.486;18.388;18.486;15371.594
2023-03-15;18.122;18.122;18.1;18.1;1611.384
2023-03-16;18.118;18.118;18.118;18.118;5562.226
2023-03-29;18.034;18.034;18.034;18.034;10820.4
2023-03-30;18.076;18.076;18.076;18.076;451.9
2023-03-31;18.122;18.122;18.122;18.122;1812.2
2023-04-03;18.416;18.664;18.358;18.664;112007.994
2023-04-04;18.31;18.31;18.22;18.22;5026.25
2023-04-06;18.164;18.186;18.164;18.186;10631.99
2023-04-17;18.188;18.188;18.188;18.188;400.136
2023-04-19;18.234;18.234;18.234;18.234;3774.438
2023-04-20;18.206;18.206;18.206;18.206;10504.862
2023-05-02;18.45;18.45;18.45;18.45;1900.35
2023-05-15;18.22;18.264;18.22;18.264;1349.556
2023-06-01;17.802;17.802;17.802;17.802;1993.824
2023-06-06;18.218;18.218;18.218;18.218;3188.15
2023-06-07;18.362;18.362;18.362;18.362;11017.2
2023-06-13;18.39;18.39;18.39;18.39;2004.51
2023-06-15;18.468;18.468;18.43;18.43;1808.75
2023-06-26;17.906;17.906;17.906;17.906;268.59
2023-06-28;18.202;18.202;18.11;18.11;3948.9
2023-07-03;18.49;18.49;18.49;18.49;2107.86
2023-07-04;18.534;18.534;18.534;18.534;5152.452
2023-07-06;18.33;18.33;18.33;18.33;1833.0
2023-07-11;18.194;18.194;18.194;18.194;5094.32
2023-07-17;18.018;18.018;18.018;18.018;522.522
2023-07-19;18.196;18.196;18.196;18.196;1819.6
2023-07-25;18.798;18.798;18.798;18.798;620.334
2023-07-27;18.914;18.914;18.914;18.914;3782.8
2023-07-31;18.904;18.904;18.904;18.904;1134.24
2023-08-01;18.97;18.97;18.97;18.97;56.91
2023-08-07;18.682;18.682;18.682;18.682;18.682
2023-08-10;18.66;18.66;18.66;18.66;18660.0
2023-08-16;18.402;18.402;18.402;18.402;496.854
2023-08-28;18.48;18.48;18.48;18.48;1848.0
2023-09-01;18.636;18.636;18.636;18.636;1919.508
