Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-06-14;48.14;48.14;48.14;48.14;385.12
2022-07-05;41.42;41.42;41.42;41.42;165.68
2022-08-02;37.38;37.38;37.38;37.38;37.38
2022-08-22;44.33;44.33;44.33;44.33;44.33
2022-09-01;48.73;48.73;48.73;48.73;48.73
2022-09-20;53.28;53.28;53.28;53.28;53.28
2022-09-22;54.0;56.53;54.0;56.53;8289.75
2022-09-27;61.49;61.49;61.49;61.49;61.49
2022-09-29;59.53;59.53;59.53;59.53;1726.37
2022-10-06;57.1;57.1;57.1;57.1;114.2
2022-10-20;63.28;63.28;63.28;63.28;63.28
2022-10-27;58.79;58.79;58.79;58.79;58.79
2022-11-03;64.74;64.74;64.74;64.74;64.74
2022-11-10;54.28;54.28;54.28;54.28;54.28
2022-11-14;54.32;54.32;54.32;54.32;54.32
2022-12-05;48.49;48.49;48.49;48.49;96.98
2022-12-13;46.67;46.67;46.56;46.56;7460.6
2022-12-15;47.32;47.32;46.65;46.65;7504.2
2022-12-30;52.4;52.4;52.4;52.4;52.4
2023-01-05;50.78;50.78;50.78;50.78;50.78
2023-01-06;51.72;51.72;51.72;51.72;103.44
2023-01-09;48.33;48.33;48.33;48.33;48.33
2023-01-11;47.94;47.94;47.94;47.94;527.34
2023-01-17;46.66;46.66;46.66;46.66;2519.64
2023-01-19;44.08;44.08;44.08;44.08;484.88
2023-01-24;45.69;45.69;45.69;45.69;2467.26
2023-02-03;46.4;46.54;46.4;46.54;139.34
2023-02-27;55.77;55.77;55.77;55.77;223.08
2023-04-24;45.31;45.31;45.31;45.31;58903.0
2023-06-02;47.92;47.92;47.92;47.92;62296.0
2023-07-24;50.9;50.9;50.9;50.9;1985.1
2023-08-04;54.41;54.41;54.41;54.41;2121.99
2023-08-11;55.01;55.01;55.01;55.01;440.08
2023-08-14;57.62;57.62;57.62;57.62;2996.24
2023-08-28;60.11;60.11;60.11;60.11;1743.19
2023-08-29;58.04;58.04;58.04;58.04;3018.08
2024-06-24;59.88;59.88;59.88;59.88;479.04
2024-08-23;50.0;50.0;50.0;50.0;450.0
2024-09-05;48.23;48.23;48.23;48.23;819.91
2024-10-11;55.34;55.34;55.34;55.34;1660.2
2024-10-18;55.65;55.65;55.65;55.65;1113.0
2024-10-21;56.26;56.26;56.26;56.26;1125.2
2024-10-23;58.25;58.25;58.25;58.25;1747.5
2025-02-28;60.45;60.45;60.45;60.45;483.6
2025-03-05;58.7;58.7;58.7;58.7;763.1
2025-04-07;50.97;50.97;50.97;50.97;1070.37
2025-04-09;56.85;57.12;56.85;57.0;37277.19
2025-04-11;58.64;58.64;58.64;58.64;35184.0
2025-04-22;54.95;54.95;54.95;54.95;1648.5
2025-04-25;53.7;53.7;53.7;53.7;1611.0
2025-05-22;58.21;58.21;58.21;58.21;2037.35
2025-05-23;56.77;56.77;56.77;56.77;1986.95
2025-06-12;53.68;53.68;53.68;53.68;268.4
2025-06-27;50.76;50.76;50.76;50.76;253.8
2025-07-15;53.5;53.5;53.5;53.5;535.0
