Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-11-29;4.9255;4.9255;4.9255;4.9255;492.55
2022-12-01;4.934;4.934;4.934;4.934;4934.0
2022-12-20;4.8115;4.8115;4.8115;4.8115;4643.0975
2022-12-27;4.795;4.795;4.7715;4.7775;329214.2525
2022-12-30;4.7385;4.7425;4.7385;4.7425;9149.165
2023-01-18;4.855;4.862;4.855;4.862;9376.905
2023-02-03;4.856;4.856;4.856;4.856;4686.04
2023-02-06;4.8595;4.8595;4.8595;4.8595;4689.4175
2023-03-08;4.835;4.835;4.835;4.835;483.5
2023-03-21;4.791;4.798;4.791;4.798;11132.829
2023-03-30;4.7905;4.7905;4.7905;4.7905;4622.8325
2023-04-11;4.837;4.837;4.837;4.837;4667.705
2023-04-14;4.7565;4.757;4.7565;4.757;13770.55
2023-04-17;4.792;4.792;4.792;4.792;9.584
2023-04-18;4.778;4.778;4.778;4.778;4610.77
2023-05-11;4.7945;4.8175;4.7935;4.8175;18529.4475
2023-05-16;4.776;4.776;4.776;4.776;4608.84
2023-05-19;4.781;4.7845;4.781;4.7845;13844.855
2023-05-23;4.7815;4.796;4.7815;4.796;11808.1475
2023-05-31;4.873;4.877;4.873;4.877;7311.64
2023-06-01;4.8625;4.8625;4.8625;4.8625;14.5875
2023-06-02;4.846;4.846;4.846;4.846;4676.39
2023-06-06;4.8575;4.8575;4.8575;4.8575;4687.4875
2023-06-30;4.799;4.8015;4.799;4.8015;22876.735
2023-09-25;4.8045;4.8045;4.8045;4.8045;480.45
2023-10-16;4.788;4.788;4.788;4.788;104531.616
2023-12-28;4.948;4.952;4.948;4.952;9553.5
2023-12-29;4.9555;4.9595;4.9515;4.9595;19128.7125
2024-01-03;4.9695;4.9695;4.9695;4.9695;4795.5675
2024-01-26;5.014;5.014;5.014;5.014;5.014
2024-01-29;5.039;5.039;5.039;5.039;3935.459
2024-02-01;5.073;5.073;5.073;5.073;547.884
2024-02-07;5.052;5.052;5.052;5.052;4875.18
2024-03-01;5.001;5.001;5.001;5.001;545.109
2024-03-20;5.013;5.013;5.013;5.013;11028.6
2024-04-02;5.059;5.059;5.059;5.059;546.372
2024-04-15;5.032;5.033;5.032;5.033;15096.975
2024-05-02;5.009;5.009;5.009;5.009;550.99
2024-05-14;5.017;5.017;5.017;5.017;5017.0
2024-05-24;5.0;5.0;5.0;5.0;1500.0
2024-06-03;5.026;5.026;5.026;5.026;547.834
2024-07-01;5.078;5.078;5.078;5.078;543.346
2024-07-11;5.093;5.093;5.093;5.093;7751.546
2024-07-12;5.094;5.094;5.094;5.094;10366.29
2024-08-01;5.197;5.197;5.197;5.197;550.882
2024-08-05;5.156;5.156;5.156;5.156;10492.46
2024-08-22;5.117;5.117;5.117;5.117;10413.095
2024-08-28;5.131;5.131;5.131;5.131;10441.585
2024-09-03;5.156;5.156;5.156;5.156;551.692
2024-09-10;5.218;5.218;5.218;5.218;7305.2
2024-09-11;5.228;5.228;5.228;5.228;10638.98
2024-09-18;5.211;5.211;5.211;5.211;31266.0
2024-09-19;5.203;5.203;5.203;5.203;5203.0
2024-09-20;5.203;5.203;5.203;5.203;4682.7
2024-09-24;5.182;5.197;5.182;5.197;25014.262
2024-10-01;5.213;5.22;5.213;5.22;10562.28
2024-10-02;5.231;5.231;5.227;5.227;29284.928
2024-10-23;5.234;5.234;5.234;5.234;1046.8
2024-11-01;5.192;5.192;5.192;5.192;545.16
2024-11-04;5.183;5.183;5.183;5.183;5.183
2024-11-08;5.29;5.29;5.29;5.29;5.29
2024-11-22;5.415;5.415;5.413;5.413;105931.067
2024-11-28;5.395;5.403;5.394;5.399;53623.14
2024-12-02;5.435;5.435;5.435;5.435;396.755
2024-12-11;5.468;5.468;5.468;5.468;9842.4
2024-12-12;5.425;5.425;5.425;5.425;1003.625
2024-12-16;5.411;5.411;5.411;5.411;5032.23
2024-12-17;5.396;5.396;5.396;5.396;1419.148
2024-12-18;5.391;5.391;5.391;5.391;598.401
2025-01-02;5.432;5.432;5.432;5.432;298.76
2025-01-08;5.395;5.395;5.395;5.395;604.24
2025-01-13;5.412;5.433;5.412;5.433;11656.887
2025-01-15;5.38;5.38;5.38;5.38;2969.76
2025-01-16;5.429;5.429;5.429;5.429;103.151
2025-01-20;5.426;5.426;5.426;5.426;206.188
2025-01-23;5.396;5.396;5.396;5.396;814.796
2025-01-27;5.354;5.354;5.354;5.354;1027.968
2025-01-29;5.43;5.43;5.43;5.43;814.5
2025-01-31;5.449;5.449;5.449;5.449;615.737
2025-02-03;5.497;5.511;5.49;5.49;12173.864
2025-02-04;5.445;5.445;5.445;5.445;299.475
2025-02-07;5.448;5.448;5.448;5.448;38255.856
2025-02-14;5.393;5.402;5.393;5.402;1289.917
2025-02-18;5.42;5.42;5.42;5.42;292.68
2025-02-24;5.429;5.429;5.428;5.428;597.09
2025-02-25;5.454;5.454;5.454;5.454;883.548
2025-02-26;5.453;5.453;5.453;5.453;490.77
2025-02-27;5.489;5.489;5.489;5.489;25232.933
2025-02-28;5.519;5.519;5.519;5.519;612.609
