Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-11-21;4.9195;4.9195;4.9195;4.9195;49.195
2022-11-24;4.914;4.914;4.914;4.914;54.054
2022-11-29;4.919;4.919;4.919;4.919;491.9
2022-11-30;4.889;4.898;4.889;4.898;24970.8
2022-12-01;4.9325;4.9325;4.9245;4.925;14782.0
2022-12-02;4.9055;4.9055;4.9055;4.9055;4905.5
2022-12-07;4.918;4.918;4.918;4.918;4918.0
2022-12-09;4.9105;4.9105;4.9105;4.9105;4910.5
2022-12-16;4.848;4.848;4.848;4.848;4678.32
2022-12-20;4.797;4.797;4.7915;4.7915;9252.9025
2022-12-27;4.78;4.78;4.7565;4.7625;403724.92
2022-12-30;4.724;4.724;4.724;4.724;4558.66
2023-01-18;4.84;4.847;4.84;4.847;9347.955
2023-01-24;4.787;4.787;4.787;4.787;4619.455
2023-01-26;4.785;4.785;4.785;4.785;478.5
2023-01-31;4.7865;4.7865;4.7865;4.7865;4618.9725
2023-02-06;4.8225;4.8225;4.8225;4.8225;4653.7125
2023-02-16;4.766;4.766;4.766;4.766;476.6
2023-02-21;4.741;4.741;4.741;4.741;4575.065
2023-02-27;4.7755;4.7755;4.7755;4.7755;4608.3575
2023-03-02;4.707;4.707;4.707;4.707;621.324
2023-03-21;4.716;4.7245;4.716;4.7225;120777.2895
2023-04-11;4.761;4.7625;4.761;4.7625;4808.6775
2023-04-14;4.6645;4.665;4.6645;4.665;9002.9675
2023-04-18;4.685;4.685;4.685;4.685;4521.025
2023-05-08;4.6335;4.6335;4.6335;4.6335;4471.3275
2023-05-11;4.702;4.725;4.702;4.725;9097.055
2023-05-16;4.6835;4.6835;4.6835;4.6835;4519.5775
2023-05-19;4.6645;4.668;4.6645;4.668;13507.105
2023-05-23;4.665;4.665;4.665;4.665;4501.725
2023-06-08;4.697;4.697;4.697;4.697;4532.605
2023-06-16;4.6375;4.6375;4.6375;4.6375;672.4375
2023-06-21;4.658;4.658;4.658;4.658;465.8
2023-07-04;4.668;4.668;4.668;4.668;140.04
2023-07-13;4.554;4.558;4.5345;4.558;186637.2755
2023-07-17;4.4955;4.4955;4.4955;4.4955;651.8475
2023-08-31;4.621;4.621;4.621;4.621;4459.265
2023-10-16;4.5755;4.5755;4.5755;4.5755;104518.1465
2023-11-21;4.528;4.528;4.528;4.528;4369.52
2023-12-08;4.71;4.71;4.71;4.71;49455.0
