Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-09-09;57.31;57.31;57.31;57.31;201731.2
2022-09-12;57.41;57.41;57.41;57.41;574.1
2022-09-13;57.41;57.41;57.41;57.41;574.1
2022-09-14;57.14;57.14;57.14;57.14;57.14
2022-09-15;56.84;56.84;56.84;56.84;10799.6
2022-09-16;56.1;56.1;56.1;56.1;2468.4
2022-09-19;56.3;56.3;56.3;56.3;5630.0
2022-09-21;55.84;55.85;55.84;55.85;100805.66
2022-09-26;54.11;54.11;54.11;54.11;6980.19
2022-09-29;53.44;53.44;53.44;53.44;2030.72
2022-10-04;54.46;54.46;54.46;54.46;54.46
2022-10-05;55.14;55.25;55.14;55.25;199930.6
2022-10-07;54.58;54.58;54.58;54.58;109.16
2022-10-11;54.0;54.0;54.0;54.0;216.0
2022-10-13;53.42;53.42;53.42;53.42;2350.48
2022-11-02;55.65;55.65;55.65;55.65;9738.75
2022-11-07;55.1;55.1;55.1;55.1;771.4
2022-11-14;56.0;56.0;56.0;56.0;5600.0
2022-11-15;55.85;55.85;55.85;55.85;1061.15
2022-11-29;56.47;56.47;56.47;56.47;1524.69
2022-12-01;56.66;56.66;56.66;56.66;16431.4
2022-12-02;57.25;57.3;57.25;57.3;6183.4
2022-12-05;56.32;56.32;56.32;56.32;337.92
2022-12-07;56.68;56.68;56.68;56.68;2890.68
2022-12-16;55.34;55.34;55.34;55.34;4980.6
2022-12-21;54.94;54.94;54.94;54.94;4614.96
2023-01-03;55.19;55.19;55.19;55.19;2980.26
2023-01-04;54.85;55.35;54.85;55.35;10864.8
2023-01-10;55.54;55.54;55.54;55.54;999.72
2023-01-17;56.4;56.4;56.4;56.4;2538.0
2023-01-18;56.47;56.47;56.47;56.47;2597.62
2023-01-19;56.32;56.32;56.32;56.32;19712.0
2023-01-25;56.31;56.31;56.31;56.31;675.72
2023-02-01;56.1;56.1;56.1;56.1;448.8
2023-02-10;56.38;56.38;56.38;56.38;9866.5
2023-02-13;56.04;56.04;56.04;56.04;1120.8
2023-02-15;56.07;56.07;56.07;56.07;168.21
2023-02-28;55.09;55.09;55.09;55.09;3029.95
2023-03-01;54.99;54.99;54.99;54.99;494.91
2023-03-07;54.8;54.8;54.8;54.8;2027.6
2023-03-16;54.91;54.91;54.91;54.91;164.73
2023-03-21;54.94;54.94;54.94;54.94;769.16
2023-03-30;54.89;54.89;54.89;54.89;3567.85
2023-04-03;55.69;55.69;55.69;55.69;501.21
2023-04-04;55.76;55.76;55.76;55.76;17564.4
2023-04-17;55.51;55.51;55.51;55.51;166.53
2023-05-02;55.8;55.8;55.8;55.8;279.0
