Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-09-08;64.25;64.25;64.25;64.25;3212.5
2022-09-12;64.98;64.98;64.98;64.98;649.8
2022-09-13;64.8;64.8;64.8;64.8;648.0
2022-09-14;63.41;63.41;63.41;63.41;634.1
2022-09-15;63.3;63.3;63.3;63.3;2088.9
2022-09-16;63.0;63.0;63.0;63.0;1071.0
2022-09-19;63.0;63.0;63.0;63.0;189.0
2022-09-22;62.62;62.62;62.62;62.62;3757.2
2022-10-24;61.02;61.02;61.02;61.02;1220.4
2022-10-28;61.73;61.73;61.73;61.73;2530.93
2022-11-16;62.6;62.6;62.6;62.6;1252.0
2022-11-22;63.4;63.4;63.4;63.4;2853.0
2022-11-23;63.67;63.77;63.67;63.77;6052.15
2022-11-24;63.75;63.75;63.75;63.75;2550.0
2022-11-29;63.44;63.44;63.44;63.44;1522.56
2022-12-02;64.47;64.5;64.15;64.15;185362.6
2022-12-05;64.14;64.21;64.14;64.21;4042.43
2022-12-12;63.25;63.25;63.0;63.0;82242.0
2022-12-13;63.5;63.5;63.5;63.5;3810.0
2023-01-02;62.46;62.46;61.45;61.45;7022.63
2023-01-03;61.74;62.14;61.74;62.14;24769.4
2023-01-10;62.32;62.32;62.32;62.32;7727.68
2023-01-12;62.94;62.94;62.94;62.94;15860.88
2023-01-16;63.01;63.01;62.98;62.98;504.05
2023-01-17;63.43;63.43;63.4;63.4;11095.93
2023-01-19;63.25;63.25;63.25;63.25;632.5
2023-01-20;63.08;63.08;63.08;63.08;10912.84
2023-01-24;62.57;62.67;62.47;62.67;150114.9
2023-02-24;62.88;62.88;62.88;62.88;5973.6
2023-03-02;61.5;61.53;61.5;61.53;61517.88
2023-03-10;61.58;61.58;61.53;61.53;467818.0
2023-03-13;61.6;61.6;61.6;61.6;9856.0
2023-03-17;61.59;61.59;61.59;61.59;9423.27
2023-03-22;61.41;61.41;61.41;61.41;9579.96
2023-03-31;61.71;61.77;61.71;61.77;5000.49
2023-04-03;61.87;61.87;61.87;61.87;928.05
2023-05-16;62.83;62.83;62.83;62.83;502.64
2023-05-17;62.54;62.54;62.52;62.52;3001.12
2023-05-18;62.62;62.62;62.62;62.62;500.96
2023-05-19;62.72;62.72;62.72;62.72;501.76
2023-05-22;62.93;62.93;62.93;62.93;503.44
2023-05-23;62.78;62.9;62.78;62.9;2892.56
2023-05-24;62.8;62.8;62.13;62.13;2987.6
2023-05-25;62.48;62.48;62.48;62.48;499.84
2023-05-26;62.39;62.39;62.39;62.39;499.12
2023-05-29;62.66;62.68;62.66;62.68;25068.22
2023-05-30;62.8;62.8;62.8;62.8;502.4
2023-05-31;62.95;62.95;62.95;62.95;503.6
2023-06-01;63.0;63.0;63.0;63.0;504.0
2023-06-02;63.22;63.22;63.22;63.22;505.76
2023-06-06;63.65;63.65;63.65;63.65;509.2
2023-06-07;63.47;63.47;63.47;63.47;507.76
2023-06-08;63.46;63.46;63.46;63.46;507.68
2023-06-09;63.43;63.43;63.43;63.43;507.44
2023-06-12;63.59;63.59;63.59;63.59;508.72
2023-06-13;63.77;63.77;63.77;63.77;446.39
2023-06-14;63.81;63.81;63.36;63.36;3488.4
2023-06-15;63.44;63.44;63.11;63.11;3473.69
2023-06-16;63.35;63.35;63.35;63.35;506.8
2023-06-19;63.42;63.42;63.42;63.42;443.94
2023-06-20;63.24;63.24;63.24;63.24;505.92
2023-06-21;63.26;63.26;63.26;63.26;506.08
2023-06-22;62.77;62.77;62.34;62.34;125182.16
2023-06-23;62.64;62.66;62.64;62.65;3446.06
2023-06-26;62.6;62.6;62.6;62.6;500.8
2023-06-27;62.24;62.73;62.24;62.73;564.08
2023-06-28;62.69;62.69;62.69;62.69;501.52
2023-06-29;62.93;62.93;62.93;62.93;12019.63
2023-07-03;63.3;63.3;63.3;63.3;1519.2
2023-07-05;63.62;63.62;63.62;63.62;7952.5
2023-07-11;62.39;62.4;62.39;62.4;6239.75
2023-07-18;63.24;63.24;63.24;63.24;63.24
2023-07-24;62.52;62.52;62.52;62.52;98781.6
2023-07-26;63.22;63.22;63.22;63.22;63.22
2023-07-27;63.54;63.54;63.54;63.54;14550.66
2023-07-28;63.34;63.34;63.34;63.34;1520.16
2023-08-08;63.41;63.41;63.41;63.41;3804.6
2023-08-16;62.67;62.67;62.67;62.67;62.67
2023-08-22;62.08;62.08;62.08;62.08;1862.4
2023-08-24;62.15;62.15;62.15;62.15;310.75
2023-08-25;62.06;62.06;61.8;61.8;4956.48
2023-08-28;62.49;62.49;62.49;62.49;3249.48
2023-09-01;62.46;62.46;62.41;62.41;11860.3
2023-09-15;63.1;63.1;63.1;63.1;504.8
2023-09-18;62.88;62.88;62.88;62.88;503.04
2023-09-19;62.69;62.69;61.41;61.41;1912.67
2023-09-20;62.57;62.57;62.57;62.57;500.56
2023-09-21;62.9;62.9;62.9;62.9;503.2
2023-09-22;62.14;62.14;62.14;62.14;497.12
2023-09-25;62.03;62.03;62.03;62.03;496.24
2023-09-26;61.9;61.9;61.9;61.9;495.2
2023-09-27;61.88;61.88;61.88;61.88;495.04
2023-09-28;63.62;63.62;62.03;62.03;941.58
2023-09-29;62.0;62.0;62.0;62.0;558.0
2023-10-02;61.78;61.78;61.46;61.46;1910.2
2023-10-03;61.48;61.48;61.48;61.48;491.84
2023-10-04;60.9;60.9;60.9;60.9;548.1
2023-10-05;60.6;61.07;60.6;61.07;12063.16
2023-10-06;61.32;61.32;61.32;61.32;490.56
2023-10-09;64.2;64.2;61.11;61.13;1742.14
2023-10-19;61.79;61.97;61.79;61.97;7548.82
2023-10-23;61.03;61.18;61.03;61.18;15287.5
2023-10-31;60.82;60.82;60.82;60.82;4987.24
2023-11-01;60.81;60.81;60.81;60.81;547.29
2023-11-07;61.32;61.32;61.32;61.32;5028.24
2023-11-08;62.14;62.14;62.14;62.14;1056.38
2023-11-15;62.66;62.66;62.66;62.66;689.26
2023-11-20;62.9;62.91;62.9;62.91;5032.52
2023-11-22;62.69;62.69;62.69;62.69;3949.47
2023-11-24;62.83;62.83;62.83;62.83;1319.43
2023-11-27;62.51;62.51;62.51;62.51;1125.18
2023-11-30;63.61;63.61;63.57;63.58;8582.92
2023-12-04;64.38;64.38;64.33;64.34;23033.78
2023-12-05;64.39;64.39;64.39;64.39;515.12
2023-12-06;64.33;64.35;64.33;64.35;5532.54
2023-12-07;64.51;64.51;64.51;64.51;451.57
2023-12-08;64.43;64.56;64.01;64.01;20696.0
2023-12-11;64.05;64.05;64.05;64.05;64.05
2023-12-12;64.83;64.92;64.83;64.92;908.25
2023-12-13;64.89;65.02;64.89;65.02;1039.28
2023-12-14;65.7;65.7;65.54;65.54;1049.92
2023-12-15;65.8;65.87;65.8;65.87;921.69
2023-12-18;65.38;65.87;65.38;65.87;1050.25
2023-12-19;65.85;65.97;65.85;65.97;922.74
2023-12-20;65.43;65.43;65.39;65.39;14912.95
2023-12-21;65.92;65.96;65.92;65.96;6791.33
2024-01-04;65.17;65.17;65.14;65.14;9315.84
2024-01-05;64.93;64.93;64.93;64.93;4934.68
2024-01-15;65.92;65.92;65.92;65.92;65.92
2024-02-01;66.5;66.5;66.5;66.5;66.5
2024-02-07;66.5;66.5;66.5;66.5;1995.0
2024-02-09;66.48;66.48;66.48;66.48;6980.4
2024-02-14;66.58;66.73;65.97;66.73;25237.5
2024-02-19;66.83;66.83;66.83;66.83;1670.75
2024-02-20;66.83;66.83;66.83;66.83;1002.45
2024-02-22;66.85;66.85;66.85;66.85;16712.5
2024-03-01;66.98;66.98;66.98;66.98;133.96
2024-03-04;67.21;67.21;67.21;67.21;470.47
2024-03-06;67.19;67.19;67.19;67.19;3964.21
2024-03-21;67.68;67.89;67.68;67.89;9547.29
2024-03-22;68.02;68.09;68.02;68.09;3539.28
2024-03-26;67.72;67.72;67.72;67.72;14492.08
2024-03-28;68.04;68.65;68.04;68.15;41027.17
2024-04-02;68.41;68.41;68.41;68.41;3283.68
2024-04-09;68.08;68.08;68.08;68.08;1361.6
2024-04-10;67.65;67.65;67.65;67.65;1555.95
2024-04-12;67.65;67.65;67.65;67.65;29968.95
2024-04-18;66.91;66.96;66.91;66.96;870.33
2024-04-19;66.83;66.83;66.83;66.83;10024.5
2024-04-22;66.98;66.98;66.98;66.98;5894.24
2024-04-23;67.08;67.11;67.08;67.11;33546.54
2024-05-02;68.13;68.13;68.13;68.13;10219.5
2024-05-06;68.23;68.23;68.23;68.23;136.46
2024-06-11;67.29;67.29;67.29;67.29;3431.79
2024-06-14;67.29;67.29;67.29;67.29;67.29
2024-06-18;68.29;68.29;68.29;68.29;2048.7
2024-06-25;68.72;68.72;68.08;68.08;10260.0
2024-07-01;68.25;68.25;68.25;68.25;10237.5
2024-07-08;68.47;68.47;68.47;68.47;205.41
2024-07-10;68.35;68.35;68.35;68.35;683.5
2024-07-16;69.53;69.53;69.53;69.53;10081.85
2024-07-23;69.31;69.31;69.31;69.31;3465.5
2024-07-24;69.24;69.25;69.24;69.25;34830.1
2024-08-02;68.87;68.87;68.87;68.87;68.87
2024-08-05;69.0;69.0;69.0;69.0;483.0
2024-08-09;68.68;68.68;68.68;68.68;10302.0
2024-08-16;69.13;69.13;69.13;69.13;69.13
2024-08-19;69.51;69.51;69.51;69.51;5004.72
2024-08-26;69.83;69.83;69.83;69.83;69.83
2024-08-28;70.04;70.04;70.04;70.04;1540.88
2024-09-02;69.66;69.66;69.66;69.66;1532.52
2024-09-03;69.91;69.91;69.91;69.91;2097.3
2024-09-11;70.06;70.06;70.06;70.06;2101.8
2024-09-12;69.96;69.96;69.96;69.96;3847.8
2024-09-16;70.2;70.2;69.68;69.68;912.08
2024-09-17;69.83;69.83;69.83;69.83;3840.65
2024-09-23;69.77;69.77;69.77;69.77;5651.37
2024-09-25;70.52;70.52;70.52;70.52;7968.76
2024-09-26;69.84;69.84;69.83;69.83;13547.55
2024-10-01;70.24;70.24;70.24;70.24;12292.0
2024-10-02;71.01;71.01;71.01;71.01;3550.5
2024-10-07;73.0;73.0;70.25;70.55;43007.68
2024-10-08;70.64;70.64;70.64;70.64;7982.32
2024-10-09;69.96;69.96;69.96;69.96;139.92
2024-10-14;70.31;70.31;70.3;70.3;70300.56
2024-10-18;71.37;71.37;71.37;71.37;1998.36
2024-10-24;70.65;71.2;70.64;71.2;15793.6
2024-10-29;70.65;70.65;70.65;70.65;2543.4
2024-11-06;70.73;70.74;70.73;70.74;6083.3
2024-11-11;71.8;71.8;71.8;71.8;933.4
2024-11-13;71.6;71.6;71.6;71.6;39952.8
2024-11-15;71.42;71.42;71.42;71.42;2856.8
2024-11-19;71.2;71.2;71.2;71.2;2563.2
2024-11-22;71.97;71.97;71.97;71.97;3094.71
2024-11-27;71.59;71.59;71.59;71.59;3507.91
2024-12-03;73.39;73.39;73.39;73.39;513.73
2024-12-04;72.09;72.09;72.09;72.09;8650.8
2024-12-05;72.73;72.73;72.68;72.68;2325.81
2024-12-06;72.56;72.64;72.56;72.64;362.88
2024-12-09;72.63;72.64;72.52;72.52;27369.85
2024-12-10;72.25;72.25;72.25;72.25;2890.0
2024-12-12;72.81;72.81;71.78;71.78;37467.3
2024-12-13;71.7;71.7;71.7;71.7;4445.4
2024-12-18;71.92;71.92;71.92;71.92;20137.6
2024-12-27;72.0;72.0;72.0;72.0;864.0
2024-12-30;71.89;71.89;70.7;70.7;7932.68
2025-01-02;72.0;72.0;71.34;71.35;9317.55
2025-01-08;71.21;71.27;71.21;71.27;2278.84
2025-01-09;71.38;71.38;71.38;71.38;4996.6
2025-01-10;71.85;71.85;71.28;71.28;8455.39
2025-01-13;70.7;70.7;70.7;70.7;35350.0
2025-01-14;71.18;71.18;71.18;71.18;6263.84
2025-01-15;71.47;71.47;71.47;71.47;142.94
2025-01-16;71.64;71.78;71.3;71.78;4000.97
2025-01-17;71.92;72.07;71.92;72.07;5111.57
2025-01-20;71.28;71.36;71.28;71.3;23888.16
2025-01-22;72.69;72.69;72.69;72.69;7559.76
2025-01-23;72.82;72.82;72.09;72.09;217.0
2025-01-27;71.71;71.75;71.69;71.69;37855.4
2025-01-31;72.5;72.5;72.5;72.5;3625.0
2025-02-03;74.36;74.83;74.36;74.83;149.19
2025-02-04;73.44;73.44;72.88;72.88;4748.4
2025-02-05;72.9;72.9;72.75;72.82;32567.32
2025-02-06;73.23;73.23;73.23;73.23;6371.01
2025-02-13;72.53;72.53;72.53;72.53;1015.42
2025-02-17;73.61;73.61;73.61;73.61;220.83
2025-02-18;73.67;73.67;73.67;73.67;73.67
2025-02-21;73.74;73.82;73.74;73.82;109543.3
2025-02-24;73.69;73.69;73.65;73.65;39571.45
2025-02-25;73.59;73.59;73.54;73.54;4487.29
2025-02-26;73.75;73.75;73.75;73.75;16888.75
2025-02-27;73.76;73.76;73.76;73.76;10031.36
2025-02-28;74.19;74.19;74.19;74.19;10089.84
2025-03-03;74.39;74.39;73.8;73.8;33868.8
2025-03-04;73.18;73.18;73.18;73.18;3951.72
2025-03-05;72.82;72.82;72.0;72.0;5592.05
2025-03-11;71.2;71.2;71.08;71.08;23339.2
2025-03-12;70.52;70.52;70.52;70.52;2679.76
2025-03-18;70.38;70.38;70.38;70.38;1055.7
2025-03-19;70.58;70.58;70.58;70.58;70.58
2025-03-20;70.71;71.26;70.71;71.26;4604.4
2025-03-24;71.46;71.47;71.46;71.47;5002.4
2025-03-25;72.07;72.07;71.6;71.6;58238.83
2025-03-26;71.56;71.56;71.56;71.56;9302.8
2025-03-28;70.79;71.42;70.79;71.41;34350.39
2025-03-31;70.38;70.38;70.36;70.36;11751.2
2025-04-01;71.31;71.31;70.98;70.98;1065.03
2025-04-03;69.42;69.42;69.42;69.42;15202.98
2025-04-07;65.07;67.51;65.07;66.13;16192.75
2025-04-08;66.72;67.53;66.72;67.43;8428.06
2025-04-09;66.31;66.31;66.31;66.31;5304.8
2025-04-11;67.23;67.23;67.23;67.23;7933.14
2025-04-14;68.03;68.73;68.03;68.73;50298.52
2025-04-22;68.85;68.85;68.85;68.85;688.5
2025-04-23;70.1;70.1;70.02;70.02;140.12
2025-04-24;70.33;70.33;70.33;70.33;3938.48
2025-04-25;69.8;69.8;69.8;69.8;1675.2
2025-04-28;69.35;69.36;69.34;69.35;14424.8
2025-05-02;70.72;70.72;70.72;70.72;4808.96
2025-05-08;70.98;70.99;70.98;70.99;4968.74
2025-05-09;70.96;70.99;70.96;70.99;851.58
2025-05-12;71.34;71.44;71.34;71.44;100586.72
2025-05-13;71.68;71.72;71.68;71.72;10035.6
2025-05-14;71.86;71.86;71.71;71.71;16354.08
