Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-09-07;71.73;71.73;71.73;71.73;5021.1
2022-09-12;72.16;73.0;72.16;73.0;2175.02
2022-09-13;73.23;73.23;73.23;73.23;10252.2
2022-09-14;72.11;72.11;72.11;72.11;10023.29
2022-09-15;71.64;71.64;71.64;71.64;71.64
2022-09-16;70.69;70.69;70.69;70.69;3534.5
2022-09-21;69.88;69.98;69.88;69.98;105662.8
2022-09-29;67.85;67.85;67.85;67.85;1017.75
2022-10-05;68.79;68.79;68.79;68.79;1513.38
2022-10-19;68.07;68.07;68.07;68.07;19740.3
2022-10-20;67.05;67.05;67.05;67.05;3352.5
2022-10-21;66.49;66.49;66.49;66.49;664.9
2022-10-28;68.89;68.89;68.89;68.89;10333.5
2022-11-01;70.16;70.16;70.16;70.16;3227.36
2022-11-02;70.08;70.08;70.0;70.0;8820.08
2022-11-14;71.77;71.8;71.77;71.8;38757.0
2022-11-25;71.49;71.49;71.49;71.49;714.9
2022-11-28;70.7;70.7;70.7;70.7;2121.0
2022-11-29;71.09;71.09;71.09;71.09;1563.98
2022-12-05;72.13;72.13;72.13;72.13;1514.73
2022-12-06;71.52;71.52;71.52;71.52;500.64
2022-12-08;70.06;70.06;70.06;70.06;4904.2
2022-12-21;68.64;68.64;68.64;68.64;10021.44
2022-12-23;68.66;68.66;68.66;68.66;205.98
2023-01-02;67.38;68.58;67.38;68.58;219523.92
2023-01-03;68.41;68.64;68.41;68.64;57359.32
2023-01-10;69.91;69.91;69.91;69.91;699.1
2023-01-17;70.35;70.48;70.35;70.48;704.41
2023-01-18;71.52;71.52;71.3;71.3;17123.0
2023-01-19;71.0;71.0;71.0;71.0;568.0
2023-01-25;71.24;71.24;71.24;71.24;2564.64
2023-02-01;70.8;70.8;70.8;70.8;212.4
2023-02-02;71.33;71.33;71.33;71.33;998.62
2023-02-10;70.97;71.96;70.97;71.96;7486.5
2023-02-16;71.7;71.7;71.49;71.49;7650.9
2023-02-21;71.15;71.15;71.15;71.15;3913.25
2023-02-24;71.02;71.02;71.02;71.02;20950.9
2023-02-28;70.45;70.45;70.45;70.45;3170.25
2023-03-06;69.72;70.17;69.72;70.17;4536.3
2023-03-10;69.23;69.23;69.2;69.2;117661.0
2023-03-16;68.89;68.89;68.89;68.89;68.89
2023-03-17;68.97;68.97;68.97;68.97;13931.94
2023-03-21;68.87;68.89;68.87;68.89;17700.17
2023-03-22;68.74;68.74;68.74;68.74;893.62
2023-04-03;70.08;70.08;70.08;70.08;700.8
2023-04-12;70.11;70.11;70.11;70.11;2804.4
2023-04-13;70.02;70.02;70.02;70.02;420.12
2023-04-17;70.05;70.05;70.05;70.05;280.2
2023-05-02;70.26;70.26;70.26;70.26;702.6
2023-05-09;70.0;70.0;70.0;70.0;4900.0
2023-05-23;70.76;70.76;70.76;70.76;3538.0
2023-05-25;69.99;69.99;69.99;69.99;3499.5
2023-05-29;70.32;70.32;70.32;70.32;2039.28
2023-06-01;70.56;70.56;70.56;70.56;1128.96
2023-06-26;69.42;69.42;69.42;69.42;833.04
2023-07-03;71.6;71.6;71.6;71.6;2577.6
2023-07-05;71.49;71.49;71.49;71.49;500.43
2023-07-19;70.62;70.7;70.62;70.7;1908.42
2023-07-28;71.69;71.69;71.69;71.69;1577.18
2023-08-01;72.53;72.53;72.53;72.53;362.65
2023-08-02;72.31;72.31;72.31;72.31;578.48
2023-08-03;71.42;71.42;71.42;71.42;3571.0
2023-08-16;70.76;70.78;70.76;70.78;74379.28
2023-08-22;70.11;70.11;70.11;70.11;771.21
2023-08-29;71.0;71.0;71.0;71.0;71.0
2023-08-30;71.47;71.47;71.47;71.47;14294.0
2023-09-01;71.7;71.7;71.7;71.7;358.5
2023-09-04;70.87;70.87;70.87;70.87;3543.5
2023-09-05;71.77;71.77;71.77;71.77;502.39
2023-09-14;71.39;71.39;71.34;71.36;26622.11
2023-09-18;71.48;71.48;71.48;71.48;1787.0
2023-09-20;71.01;71.01;71.01;71.01;5112.72
2023-09-26;69.91;69.91;69.91;69.91;1747.75
2023-09-27;69.9;70.24;69.9;70.24;30883.84
2023-10-02;70.21;70.21;70.21;70.21;351.05
2023-10-03;69.27;69.27;69.27;69.27;4433.28
2023-10-11;69.75;69.75;69.75;69.75;4882.5
2023-10-19;69.67;69.67;69.67;69.67;15188.06
2023-10-23;68.43;68.53;68.43;68.53;32661.21
2023-10-27;68.35;68.35;68.35;68.35;5673.05
2023-10-31;68.07;68.13;68.07;68.13;37532.81
2023-11-01;68.34;68.63;68.34;68.63;890.16
2023-11-07;68.79;69.46;68.79;69.46;5437.76
2023-11-15;70.84;70.84;70.84;70.84;354.2
2023-11-16;70.89;70.89;70.89;70.89;2481.15
2023-11-17;69.4;70.3;69.4;70.3;33070.4
2023-11-20;70.4;70.4;70.37;70.37;15764.92
2023-11-22;70.0;71.21;70.0;70.74;45768.5
2023-11-27;70.11;70.11;70.11;70.11;10516.5
2023-11-29;70.6;70.6;70.6;70.6;10590.0
2023-11-30;71.8;71.81;71.8;71.81;47035.0
2023-12-01;72.17;72.17;72.17;72.17;144.34
2023-12-04;72.75;72.76;72.65;72.65;5310.4
2023-12-05;72.05;72.89;72.05;72.89;6513.9
2023-12-06;72.6;72.6;72.6;72.6;2468.4
2023-12-07;73.07;73.07;73.07;73.07;4384.2
2023-12-08;73.12;73.15;73.12;73.15;13531.7
2023-12-11;72.63;72.63;72.63;72.63;72.63
2023-12-12;73.59;73.62;72.88;72.88;138265.47
2023-12-14;73.62;74.07;73.62;74.07;121717.62
2023-12-15;74.33;74.33;74.33;74.33;1114.95
2023-12-18;73.6;73.6;73.6;73.6;6624.0
2023-12-21;74.37;74.38;74.37;74.37;6842.09
2023-12-22;74.45;74.46;74.45;74.46;5211.67
2023-12-28;74.84;74.84;74.75;74.76;5982.78
2024-01-02;74.73;74.73;74.58;74.58;5449.33
2024-01-03;74.04;74.04;74.04;74.04;11106.0
2024-01-04;73.91;73.91;73.86;73.86;9380.47
2024-01-05;73.65;73.65;73.65;73.65;5081.85
2024-01-08;74.11;74.11;74.11;74.11;2890.29
2024-01-09;74.7;74.7;74.7;74.7;597.6
2024-01-11;74.31;74.31;74.31;74.31;5944.8
2024-01-12;74.62;74.62;74.62;74.62;1492.4
2024-01-15;74.9;74.9;74.9;74.9;10036.6
2024-01-16;75.09;75.09;75.09;75.09;675.81
2024-01-18;74.26;74.26;74.26;74.26;8911.2
2024-01-19;74.82;74.82;74.82;74.82;972.66
2024-01-22;74.39;74.39;74.39;74.39;3719.5
2024-01-23;74.97;74.97;74.97;74.97;2698.92
2024-01-24;75.38;75.38;75.38;75.38;1809.12
2024-01-25;75.37;75.38;74.67;75.38;11263.64
2024-01-26;75.86;75.86;75.3;75.3;6579.1
2024-01-29;75.78;75.78;75.78;75.78;1515.6
2024-01-31;76.05;76.05;76.05;76.05;2965.95
2024-02-01;75.63;75.63;75.63;75.63;11344.5
2024-02-09;75.98;75.98;75.98;75.98;2507.34
2024-02-13;75.94;75.94;75.94;75.94;531.58
2024-02-19;76.64;76.64;76.6;76.6;5440.78
2024-02-22;77.38;77.38;77.38;77.38;1160.7
2024-02-23;76.8;76.8;76.8;76.8;19200.0
2024-02-29;76.01;76.01;76.01;76.01;532.07
2024-03-01;77.43;77.43;77.17;77.17;2935.58
2024-03-04;76.71;76.71;76.71;76.71;920.52
2024-03-06;77.51;77.69;77.26;77.69;23281.31
2024-03-08;77.85;77.85;77.85;77.85;4671.0
2024-03-12;77.45;77.45;77.45;77.45;3562.7
2024-03-18;76.82;77.21;76.66;77.21;6377.42
2024-03-19;76.5;76.5;76.5;76.5;6502.5
2024-03-21;77.78;77.89;77.78;77.89;18058.18
2024-03-27;78.17;78.17;78.17;78.17;2345.1
2024-04-02;78.53;78.53;78.53;78.53;1963.25
2024-04-05;77.14;77.14;77.14;77.14;4859.82
2024-04-08;77.62;77.62;77.62;77.62;543.34
2024-04-09;77.06;77.06;77.05;77.05;15410.51
2024-04-11;77.33;77.33;77.27;77.28;40189.71
2024-04-12;77.94;77.94;77.94;77.94;10132.2
2024-04-15;77.21;77.21;77.21;77.21;7721.0
2024-04-17;77.25;77.25;76.21;76.21;844.55
2024-04-18;75.98;76.14;75.25;75.46;7121.36
2024-05-02;76.69;76.69;76.69;76.69;3297.67
2024-05-03;76.15;77.25;76.15;77.25;9539.65
2024-05-10;78.27;78.27;78.27;78.27;1956.75
2024-05-20;79.16;79.16;79.16;79.16;474.96
2024-05-21;78.96;78.96;78.96;78.96;4974.48
2024-05-23;78.38;78.38;78.38;78.38;5721.74
2024-05-24;77.9;78.25;77.9;78.25;7413.8
2024-05-27;78.25;78.25;78.25;78.25;2973.5
2024-06-03;78.61;78.78;78.61;78.78;6293.2
2024-06-06;78.27;78.27;78.27;78.27;469.62
2024-06-07;77.3;78.29;77.3;78.29;5938.16
2024-06-10;77.33;77.33;77.33;77.33;4949.12
2024-06-11;78.41;78.41;78.41;78.41;1176.15
2024-06-13;78.35;78.72;78.35;78.72;8704.78
2024-06-14;78.35;78.45;78.35;78.45;7841.6
2024-06-17;78.4;79.96;77.88;77.88;22131.68
2024-06-21;79.1;79.1;79.1;79.1;3955.0
2024-06-24;78.51;79.12;78.51;79.12;20725.17
2024-06-25;78.36;78.36;78.35;78.35;11752.84
2024-06-27;79.05;79.05;79.05;79.05;3952.5
2024-07-01;79.11;79.11;79.08;79.08;24913.05
2024-07-03;79.46;79.46;79.46;79.46;2781.1
2024-07-04;79.19;79.19;79.19;79.19;1346.23
2024-07-08;79.0;79.46;78.55;79.46;17945.43
2024-07-15;80.46;80.46;79.96;79.96;640.18
2024-07-16;80.39;80.39;80.39;80.39;2250.92
2024-07-22;79.55;79.55;79.55;79.55;477.3
2024-07-23;79.9;79.9;79.9;79.9;559.3
2024-07-24;79.23;79.23;79.23;79.23;7923.0
2024-07-26;78.92;78.92;78.92;78.92;1104.88
2024-07-29;79.24;79.45;79.24;79.45;5948.25
2024-08-05;79.27;79.27;79.27;79.27;1030.51
2024-08-09;77.82;77.82;77.07;77.07;6288.42
2024-08-14;78.41;78.41;78.41;78.41;784.1
2024-08-16;79.21;79.21;79.08;79.08;2058.49
2024-08-19;79.46;79.46;79.46;79.46;476.76
2024-08-20;79.31;79.31;79.31;79.31;3013.78
2024-08-22;79.92;79.92;79.92;79.92;2557.44
2024-08-23;79.85;79.85;79.85;79.85;19962.5
2024-08-26;79.96;79.96;79.96;79.96;319.84
2024-08-27;79.85;79.85;79.85;79.85;7026.8
2024-08-28;80.15;80.15;80.15;80.15;1522.85
2024-08-30;80.15;80.15;80.15;80.15;2564.8
2024-09-02;80.05;80.54;80.05;80.54;5611.34
2024-09-03;79.94;79.94;79.93;79.93;5035.88
2024-09-09;79.46;79.46;79.46;79.46;9058.44
2024-09-10;79.45;79.51;79.45;79.51;30034.42
2024-09-16;80.41;80.41;79.69;80.4;10520.51
2024-09-17;80.51;80.67;80.51;80.67;563.73
2024-09-18;80.52;80.52;80.18;80.19;25340.08
2024-09-26;80.72;80.72;80.72;80.72;565.04
2024-09-30;81.29;81.29;81.29;81.29;7885.13
2024-10-02;81.47;81.47;81.47;81.47;162.94
2024-10-04;81.06;81.06;81.06;81.06;48636.0
2024-10-07;81.04;81.04;81.04;81.04;15964.88
2024-10-08;81.02;81.26;81.02;81.26;40672.28
2024-10-09;81.19;81.19;81.19;81.19;81.19
2024-10-11;80.66;80.66;80.66;80.66;1935.84
2024-10-14;81.43;81.43;81.43;81.43;325.72
2024-10-15;81.66;81.66;81.66;81.66;163.32
2024-10-16;81.61;81.61;81.58;81.59;2447.99
2024-10-21;82.16;82.28;82.16;82.28;14137.52
2024-10-25;82.2;82.2;81.79;81.79;11455.3
2024-10-29;81.0;81.0;80.7;80.7;4447.8
2024-11-01;80.73;80.99;80.73;80.99;9285.61
2024-11-07;81.74;81.74;81.74;81.74;490.44
2024-11-11;82.2;82.2;82.2;82.2;6822.6
2024-11-12;82.2;82.2;82.2;82.2;5425.2
2024-11-13;82.5;82.6;82.49;82.5;14282.92
2024-11-14;82.92;82.92;81.9;81.9;15089.4
2024-11-15;82.4;82.4;82.4;82.4;741.6
2024-11-19;82.15;82.15;82.15;82.15;82.15
2024-11-20;82.0;82.0;82.0;82.0;2460.0
2024-11-21;82.31;82.31;82.31;82.31;15062.73
2024-11-25;83.09;84.3;83.09;84.3;90806.09
2024-11-26;84.33;84.33;83.57;83.57;11350.35
2024-11-27;83.5;83.5;83.47;83.47;21459.33
2024-12-02;83.83;84.11;83.83;84.11;11242.34
2024-12-04;84.93;84.93;84.22;84.26;13568.14
2024-12-12;83.46;83.46;82.92;82.92;3084.24
2024-12-16;83.32;83.44;82.62;83.44;2497.22
2024-12-23;81.92;81.93;81.92;81.93;4997.64
2025-01-02;82.29;82.3;82.29;82.3;14483.16
2025-01-06;82.1;83.12;82.1;83.12;908.2
2025-01-09;82.59;82.69;82.59;82.69;30089.16
2025-01-10;83.0;83.0;83.0;83.0;83.0
2025-01-13;81.73;81.73;81.73;81.73;7682.62
2025-01-14;82.31;82.31;82.31;82.31;987.72
2025-01-15;82.05;82.71;82.05;82.71;2805.11
2025-01-16;82.82;82.97;82.71;82.97;2316.58
2025-01-20;82.59;82.59;82.59;82.59;2890.65
2025-01-24;83.36;83.36;83.36;83.36;1917.28
2025-01-31;84.49;84.49;84.49;84.49;1689.8
2025-02-03;82.07;84.2;80.04;84.2;17131.25
2025-02-04;84.14;84.15;84.14;84.15;9424.68
2025-02-05;84.16;84.19;84.16;84.19;9678.43
2025-02-06;84.2;84.76;84.2;84.76;7373.56
2025-02-07;85.59;85.59;85.15;85.15;2480.35
2025-02-10;85.34;85.34;85.34;85.34;85.34
2025-02-14;85.99;85.99;85.99;85.99;15478.2
2025-02-17;85.34;85.55;85.34;85.55;11013.75
2025-02-18;84.79;85.61;84.79;85.61;3403.34
2025-02-19;85.6;85.64;85.6;85.64;4110.68
2025-02-20;86.02;86.02;85.86;85.86;5409.98
2025-02-21;85.93;85.93;85.81;85.81;4204.81
2025-02-24;85.89;85.89;85.68;85.68;19983.44
2025-02-25;85.75;85.75;84.73;84.73;12375.68
2025-02-26;85.86;85.87;85.86;85.87;33660.48
2025-03-03;84.38;85.8;84.38;85.8;14802.24
2025-03-05;84.54;84.54;84.23;84.23;52867.6
2025-03-06;83.45;83.45;83.45;83.45;166.9
2025-03-07;82.94;82.95;82.94;82.95;8294.4
2025-03-10;82.29;82.29;81.43;81.43;1797.48
2025-03-11;81.69;81.69;81.2;81.37;20626.7
2025-03-12;81.0;81.0;81.0;81.0;243.0
2025-03-13;80.97;80.98;80.15;80.15;33437.74
2025-03-14;81.01;81.34;81.01;81.34;10889.28
2025-03-17;81.37;81.61;81.37;81.61;1222.23
2025-03-19;82.81;82.81;82.81;82.81;82.81
2025-03-28;81.9;82.3;81.9;82.3;164.2
2025-03-31;81.43;81.43;81.43;81.43;11970.21
2025-04-01;80.5;81.58;80.5;81.58;1381.46
2025-04-02;81.65;81.65;81.65;81.65;979.8
2025-04-04;79.0;80.77;79.0;80.77;15857.5
2025-04-07;76.9;76.9;73.14;74.94;14472.79
2025-04-08;78.9;78.9;75.53;75.53;9544.59
2025-04-11;76.47;76.74;76.47;76.74;18187.11
2025-04-14;77.6;77.6;77.5;77.5;2325.1
2025-04-15;78.0;78.0;78.0;78.0;1092.0
2025-04-17;78.28;78.28;78.28;78.28;78.28
2025-04-22;77.95;78.09;77.95;78.05;2026.94
2025-04-23;79.42;79.42;79.26;79.26;158.68
2025-04-24;79.38;79.38;79.27;79.32;714.02
2025-04-28;79.86;79.94;79.12;79.94;41128.9
2025-04-29;80.16;80.16;80.07;80.07;8092.65
2025-04-30;79.82;79.82;79.45;79.64;113339.74
2025-05-02;80.67;80.96;80.67;80.96;29881.73
2025-05-05;81.11;81.12;80.93;80.94;27323.04
2025-05-06;80.94;80.94;80.79;80.79;10912.8
2025-05-07;80.99;80.99;80.98;80.98;809.85
2025-05-08;81.26;81.26;81.15;81.15;406.19
2025-05-09;81.12;81.12;81.12;81.12;486.72
2025-05-12;82.66;82.66;81.44;82.1;15111.84
2025-05-14;82.72;82.72;82.32;82.32;2967.02
2025-05-15;82.2;82.2;82.16;82.16;13885.28
2025-05-16;82.7;82.7;82.7;82.7;9510.5
2025-05-19;81.96;83.05;81.96;83.04;9845.79
2025-05-20;82.14;82.15;82.14;82.15;4517.95
2025-05-23;82.36;82.37;81.41;81.41;9166.89
2025-05-26;81.52;81.52;81.52;81.52;81.52
2025-05-30;82.87;82.87;82.87;82.87;1574.53
2025-06-03;82.25;82.66;82.25;82.66;4953.45
