Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-05-09;8.626;8.626;8.626;8.626;29328.4
2022-05-12;8.441;8.441;8.424;8.424;59870.75
2022-05-17;8.722;8.722;8.722;8.722;30527.0
2022-05-18;8.706;8.706;8.706;8.706;29861.58
2022-05-23;8.466;8.466;8.466;8.466;30054.3
2022-05-24;8.399;8.399;8.399;8.399;59128.96
2022-06-02;8.7;8.7;8.7;8.7;30015.0
2022-06-10;8.5;8.5;8.5;8.5;510.0
2022-06-17;8.05;8.051;8.05;8.051;30189.375
2022-07-11;8.68;8.693;8.68;8.693;86885.02
2022-07-22;8.894;8.907;8.894;8.907;89024.028
2022-07-29;9.139;9.168;9.137;9.168;121838.04
2023-01-16;8.545;8.545;8.543;8.543;939.832
2023-02-10;8.8;8.813;8.8;8.813;17824.225
2023-04-04;8.699;8.699;8.699;8.699;2818.476
2023-04-25;8.72;8.72;8.72;8.72;29473.6
2023-05-03;8.736;8.744;8.736;8.744;73859.2
2023-05-11;8.865;8.865;8.837;8.837;34887.029
2023-05-19;9.089;9.089;9.089;9.089;1363.35
2023-06-12;9.275;9.275;9.264;9.264;92163.76
2023-06-13;9.3;9.337;9.297;9.337;89947.48
2023-06-14;9.371;9.371;9.371;9.371;2811.3
2023-06-16;9.388;9.388;9.388;9.388;10702.32
2023-06-29;9.254;9.254;9.254;9.254;15963.15
2023-07-13;9.27;9.27;9.27;9.27;10530.72
2023-07-18;9.28;9.28;9.28;9.28;8918.08
2023-08-01;9.52;9.52;9.52;9.52;12404.56
2023-08-07;9.323;9.323;9.323;9.323;1631.525
2023-09-11;9.51;9.51;9.51;9.51;30241.8
2023-09-19;9.467;9.467;9.439;9.439;60215.47
2023-09-25;9.268;9.276;9.268;9.276;22398.34
2023-09-26;9.267;9.267;9.267;9.267;4633.5
2023-10-04;9.14;9.14;9.14;9.14;27420.0
2023-10-06;9.198;9.198;9.198;9.198;55629.504
2023-11-23;9.528;9.528;9.528;9.528;21037.824
2023-11-27;9.488;9.488;9.488;9.488;2846.4
2023-11-30;9.543;9.545;9.541;9.541;73000.65
2023-12-08;9.782;9.782;9.78;9.782;59979.136
2023-12-11;9.798;9.798;9.798;9.798;8406.684
2023-12-12;9.829;9.829;9.829;9.829;21053.718
2023-12-13;9.919;9.919;9.879;9.879;2178.14
2023-12-20;9.997;10.0;9.997;10.0;12396.832
2023-12-21;9.927;9.927;9.927;9.927;14930.208
2023-12-22;9.911;9.911;9.911;9.911;10763.346
2024-01-03;9.948;9.948;9.948;9.948;1173.864
2024-01-09;9.976;9.976;9.976;9.976;1925.368
2024-01-10;10.016;10.016;10.016;10.016;3505.6
2024-01-17;10.004;10.004;10.004;10.004;3001.2
2024-01-18;10.012;10.012;10.012;10.012;5006.0
2024-01-24;10.276;10.278;10.276;10.278;14387.6
2024-01-25;10.33;10.33;10.33;10.33;1033.0
2024-01-30;10.402;10.402;10.402;10.402;1965.978
2024-01-31;10.352;10.352;10.324;10.324;24062.072
2024-02-01;10.344;10.344;10.318;10.318;13240.004
2024-02-02;10.376;10.38;10.376;10.38;11375.346
2024-02-06;10.454;10.456;10.454;10.456;10068.406
2024-02-07;10.492;10.492;10.492;10.492;5854.536
2024-02-08;10.546;10.546;10.536;10.536;5690.44
2024-02-09;10.544;10.554;10.544;10.554;30622.788
2024-02-12;10.602;10.618;10.598;10.598;33829.17
2024-02-13;10.512;10.512;10.512;10.512;1576.8
2024-02-14;10.532;10.556;10.532;10.556;13928.452
2024-02-16;10.668;10.668;10.668;10.668;13836.396
2024-02-19;10.588;10.588;10.588;10.588;16061.996
2024-02-20;10.544;10.544;10.526;10.526;5158.064
2024-02-22;10.588;10.626;10.588;10.626;103323.61
2024-02-26;10.688;10.688;10.66;10.66;16823.46
2024-02-27;10.624;10.648;10.62;10.648;10582.22
2024-02-28;10.626;10.626;10.626;10.626;1912.68
2024-02-29;10.618;10.666;10.618;10.666;10270.13
2024-03-01;10.684;10.684;10.684;10.684;5042.848
2024-03-05;10.722;10.722;10.7;10.7;17311.938
2024-03-06;10.678;10.678;10.678;10.678;6406.8
2024-03-07;10.674;10.7;10.674;10.698;52061.108
2024-03-11;10.696;10.698;10.666;10.678;87008.76
2024-03-12;10.75;10.75;10.716;10.716;11122.106
2024-03-14;10.804;10.804;10.756;10.756;11685.884
2024-03-15;10.78;10.78;10.722;10.722;5159.618
2024-03-18;10.732;10.732;10.732;10.732;3198.136
2024-03-19;10.792;10.792;10.738;10.738;12848.172
2024-03-20;10.818;10.828;10.818;10.82;12197.208
2024-03-21;10.914;10.958;10.914;10.958;7761.876
2024-03-22;11.004;11.004;10.958;10.958;13065.32
2024-03-25;10.9;10.9;10.9;10.9;4981.3
2024-03-26;10.91;10.91;10.904;10.908;20493.66
2024-03-27;10.908;10.908;10.902;10.902;7634.44
2024-04-02;10.816;10.828;10.816;10.828;34623.68
2024-04-04;10.846;10.868;10.846;10.868;10868.368
2024-04-05;10.79;10.79;10.79;10.79;4488.64
2024-04-08;10.808;10.812;10.808;10.808;5350.548
2024-04-09;10.804;10.804;10.804;10.804;4397.228
2024-04-10;10.836;10.836;10.782;10.802;57387.19
2024-04-12;10.858;10.858;10.858;10.858;2410.476
2024-04-15;10.856;10.862;10.856;10.862;16178.83
2024-04-16;10.632;10.648;10.632;10.648;34043.84
2024-04-17;10.67;10.692;10.67;10.692;4948.658
2024-04-18;10.584;10.584;10.584;10.584;2063.88
2024-04-19;10.528;10.532;10.528;10.532;13971.036
2024-04-22;10.572;10.576;10.572;10.576;1998.564
2024-04-24;10.74;10.74;10.74;10.74;10310.4
2024-04-29;10.75;10.75;10.75;10.75;1494.25
2024-04-30;10.762;10.762;10.734;10.734;1182.28
2024-05-02;10.664;10.664;10.664;10.664;1588.936
2024-05-06;10.8;10.8;10.788;10.788;4491.456
2024-05-07;10.854;10.854;10.854;10.854;2138.238
2024-05-08;10.904;10.904;10.904;10.904;3827.304
2024-05-09;10.914;10.922;10.914;10.922;8780.152
2024-05-13;10.954;10.954;10.954;10.954;1610.238
2024-05-14;10.958;10.958;10.956;10.956;3396.74
2024-05-15;11.0;11.046;10.964;11.046;32763.016
2024-05-17;11.054;11.056;11.054;11.056;30079.776
2024-05-20;11.082;11.082;11.082;11.082;7502.514
2024-05-21;11.058;11.058;11.058;11.058;3759.72
2024-05-22;11.086;11.086;11.086;11.086;3203.854
2024-05-27;11.106;11.106;11.106;11.106;4675.626
2024-06-04;11.034;11.034;11.034;11.034;3321.234
2024-06-14;11.328;11.328;11.328;11.328;3760.896
2024-06-17;11.328;11.328;11.328;11.328;215.232
2024-06-21;11.404;11.404;11.382;11.382;7065.552
2024-06-27;11.402;11.402;11.402;11.402;991.974
2024-07-03;11.414;11.414;11.414;11.414;319.592
2024-07-11;11.582;11.582;11.582;11.582;4713.874
2024-07-15;11.62;11.62;11.614;11.614;2183.48
2024-07-17;11.552;11.552;11.552;11.552;2541.44
2024-07-18;11.454;11.454;11.454;11.454;1111.038
2024-07-19;11.362;11.362;11.362;11.362;2101.97
2024-07-22;11.4;11.4;11.4;11.4;10260.0
2024-07-23;11.484;11.484;11.484;11.484;2216.412
2024-07-29;11.408;11.408;11.392;11.392;17511.032
2024-08-05;10.644;10.778;10.644;10.778;22530.896
2024-08-06;10.756;10.756;10.756;10.756;1731.716
2024-08-07;10.854;10.95;10.854;10.95;3387.876
2024-08-08;10.964;10.964;10.964;10.964;317.956
2024-08-13;11.09;11.09;11.09;11.09;3160.65
2024-08-16;11.428;11.428;11.428;11.428;91.424
2024-08-19;11.382;11.382;11.382;11.382;1138.2
2024-09-03;11.606;11.606;11.606;11.606;19730.2
2024-09-10;11.332;11.332;11.332;11.332;1076.54
2024-09-11;11.37;11.37;11.37;11.37;1671.39
2024-09-16;11.59;11.59;11.59;11.59;92.72
2024-09-17;11.656;11.656;11.656;11.656;1503.624
2024-09-23;11.634;11.65;11.634;11.65;44471.114
2024-09-26;11.79;11.79;11.79;11.79;17036.55
2024-10-04;11.826;11.826;11.808;11.808;32503.68
2024-10-07;11.904;11.904;11.904;11.904;5118.72
2024-10-08;11.778;11.872;11.778;11.872;41781.246
2024-10-10;11.946;11.946;11.946;11.946;10512.48
2024-10-15;12.138;12.138;12.138;12.138;97.104
2024-10-18;12.214;12.214;12.214;12.214;1795.458
2024-10-21;12.164;12.164;12.164;12.164;2432.8
2024-10-22;12.126;12.126;12.126;12.126;2825.358
2024-10-24;12.142;12.142;12.142;12.142;10551.398
2024-11-04;11.856;11.856;11.856;11.856;497.952
2024-11-05;11.88;11.88;11.88;11.88;1746.36
2024-11-07;12.272;12.272;12.27;12.27;1595.122
2024-11-15;12.446;12.446;12.446;12.446;87.122
2024-11-18;12.352;12.352;12.352;12.352;5434.88
2024-11-22;12.652;12.674;12.652;12.674;5751.29
2024-11-27;12.696;12.696;12.696;12.696;10004.448
2024-12-05;12.828;12.828;12.828;12.828;1013.412
2024-12-12;12.868;12.868;12.868;12.868;1531.292
2024-12-16;12.834;12.834;12.834;12.834;89.838
2024-12-17;12.858;12.858;12.85;12.85;1735.246
2025-01-13;12.53;12.53;12.53;12.53;626.5
2025-01-14;12.59;12.63;12.572;12.572;6232.35
2025-01-15;12.546;12.546;12.546;12.546;87.822
2025-01-16;12.832;12.832;12.832;12.832;5569.088
2025-01-20;12.78;12.78;12.78;12.78;2990.52
2025-01-21;12.652;12.774;12.652;12.774;18111.666
2025-01-27;12.592;12.592;12.592;12.592;1599.184
2025-01-28;12.768;12.768;12.674;12.674;310386.064
2025-01-30;12.84;12.84;12.84;12.84;2837.64
2025-02-05;12.75;12.75;12.75;12.75;1313.25
2025-02-10;12.972;12.99;12.972;12.99;131964.21
2025-02-14;12.98;12.98;12.878;12.92;3022.896
2025-02-18;12.958;12.958;12.958;12.958;103.664
2025-02-24;12.666;12.666;12.666;12.666;11462.73
2025-02-28;12.546;12.546;12.536;12.536;2885.18
2025-03-06;11.934;11.934;11.92;11.92;55187.644
2025-03-07;11.914;11.914;11.902;11.902;1869.562
2025-03-10;11.802;11.802;11.698;11.698;5772.314
2025-03-13;11.462;11.462;11.462;11.462;4011.7
2025-03-14;11.518;11.518;11.518;11.518;1140.282
2025-03-17;11.642;11.642;11.642;11.642;104.778
2025-03-21;11.67;11.67;11.67;11.67;1703.82
2025-03-25;11.942;11.942;11.906;11.906;14159.18
2025-03-31;11.396;11.396;11.396;11.396;4216.52
2025-04-04;11.08;11.08;10.826;10.826;16609.324
2025-04-07;10.058;10.058;9.791;9.791;37565.621
2025-04-08;10.568;10.692;10.568;10.692;2307.764
