Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-04-29;22.5;22.5;22.5;22.5;157.5
2022-05-04;22.735;22.735;22.62;22.62;40946.8
2022-05-05;22.88;22.88;22.805;22.805;47032.69
2022-05-06;22.26;22.26;22.26;22.26;2226.0
2022-05-09;22.03;22.03;21.0;21.0;21673.01
2022-05-10;20.525;20.525;20.5;20.5;410.025
2022-05-20;22.08;22.08;22.08;22.08;750.72
2022-05-31;22.635;22.635;22.635;22.635;565.875
2022-06-07;22.725;22.74;22.725;22.74;1477.65
2022-06-08;22.835;22.835;22.835;22.835;456.7
2022-06-09;22.565;22.91;22.48;22.48;969.84
2022-06-10;22.515;22.515;22.1;22.1;512.035
2022-06-13;21.67;21.67;20.985;20.985;4935.445
2022-06-14;20.99;20.99;20.99;20.99;104.95
2022-06-15;20.8;20.88;20.8;20.88;4598.48
2022-06-16;20.305;20.305;20.305;20.305;142.135
2022-06-17;20.355;20.355;20.355;20.355;407.1
2022-06-20;20.135;20.135;20.135;20.135;3000.115
2022-06-27;19.91;20.07;19.91;20.07;499.35
2022-07-01;19.3;19.3;19.3;19.3;173.7
2022-07-14;19.394;19.394;19.394;19.394;407.274
2022-07-15;19.586;19.586;19.574;19.58;315844.98
2022-07-19;19.976;19.976;19.976;19.976;399.52
2022-07-21;20.755;20.755;20.52;20.52;208929.68
2022-07-28;21.25;21.32;21.21;21.32;218324.74
2022-07-29;22.255;22.255;22.255;22.255;111.275
2022-08-10;23.42;23.56;23.415;23.56;1710.705
2022-08-11;24.14;24.14;23.93;24.14;33012.82
2022-08-16;24.365;24.66;24.365;24.505;26192.925
2022-08-22;24.325;24.325;23.96;24.215;208358.0
2022-08-23;24.245;24.245;24.245;24.245;1478.945
2022-08-25;25.05;25.05;25.05;25.05;105911.4
2022-08-26;25.23;25.23;24.9;24.9;548.46
2022-08-29;24.72;24.72;24.72;24.72;148.32
2022-08-30;24.82;24.875;24.82;24.875;6960.6
2022-08-31;24.0;24.105;24.0;24.085;212327.92
2022-09-01;23.85;23.85;23.33;23.41;60225.985
2022-09-07;23.325;23.325;23.325;23.325;4665.0
2022-09-12;24.6;24.6;24.485;24.485;2942.8
2022-09-13;24.235;24.235;24.235;24.235;96.94
2022-09-14;24.025;24.025;24.025;24.025;961.0
2022-09-19;22.75;22.75;22.75;22.75;91.0
2022-09-20;23.455;23.455;23.11;23.34;5223.675
2022-09-22;22.99;22.99;22.99;22.99;4598.0
2022-09-23;22.4;22.4;22.4;22.4;44.8
2022-09-26;21.96;21.96;21.96;21.96;4392.0
2022-09-28;21.96;21.96;21.96;21.96;131.76
2022-10-03;22.22;22.22;22.22;22.22;22.22
2022-10-05;22.52;22.675;22.52;22.66;4665.335
2022-10-06;22.695;22.695;22.695;22.695;340.425
2022-10-17;21.56;21.9;21.56;21.9;160832.81
2022-10-18;22.535;22.61;22.535;22.61;116108.16
2022-10-19;22.54;22.54;22.31;22.31;245.64
2022-10-21;22.035;22.04;22.035;22.04;6831.625
2022-10-31;22.6;22.6;22.6;22.6;50850.0
2022-11-01;22.63;22.93;22.63;22.93;136.08
2022-11-03;22.475;22.475;22.325;22.325;6508.0
2022-11-04;22.835;22.835;22.835;22.835;45.67
2022-11-10;22.025;22.025;22.025;22.025;106755.175
2022-11-14;22.16;22.32;22.16;22.32;356.96
2022-11-15;21.98;22.07;21.98;22.07;837.04
2022-11-16;21.74;21.74;21.74;21.74;65.22
2022-11-17;21.6;21.6;21.41;21.41;11785.0
2022-11-18;21.41;21.41;21.41;21.41;856.4
2022-11-23;21.86;21.86;21.86;21.86;18581.0
2022-11-28;21.8;21.8;21.8;21.8;2180.0
2022-12-01;21.7;21.7;21.7;21.7;1085.0
2022-12-02;21.65;21.65;21.65;21.65;21.65
2022-12-06;21.235;21.235;21.235;21.235;63.705
2022-12-23;19.912;19.912;19.912;19.912;29868.0
2022-12-29;19.872;19.872;19.872;19.872;38352.96
2022-12-30;19.708;19.708;19.708;19.708;985.4
2023-01-02;20.14;20.14;20.14;20.14;1007.0
2023-01-03;20.24;20.24;20.24;20.24;20.24
2023-01-05;19.61;19.61;19.61;19.61;372.59
2023-01-06;19.782;19.782;19.782;19.782;138.474
2023-01-13;20.125;20.125;20.125;20.125;100.625
2023-01-17;20.14;20.14;20.14;20.14;181.26
2023-01-19;20.08;20.08;20.08;20.08;200.8
2023-01-24;20.445;20.445;20.445;20.445;10222.5
2023-01-26;20.485;20.515;20.485;20.5;16858.17
2023-01-27;20.39;20.39;20.39;20.39;305.85
2023-01-31;20.24;20.24;20.24;20.24;627.44
2023-02-03;20.575;20.575;20.575;20.575;2057.5
2023-02-08;20.725;20.725;20.725;20.725;145.075
2023-02-09;20.65;20.65;20.65;20.65;6195.0
2023-02-10;20.475;20.475;20.4;20.4;919.5
2023-02-15;20.49;20.5;20.49;20.5;24597.2
2023-02-16;20.805;20.805;20.635;20.635;8296.5
2023-02-17;20.385;20.385;20.385;20.385;489.24
2023-02-21;20.335;20.335;20.335;20.335;1016.75
2023-03-03;19.702;19.702;19.702;19.702;12963.916
2023-03-06;19.932;19.932;19.932;19.932;338.844
2023-03-07;19.752;19.752;19.752;19.752;2962.8
2023-03-10;19.276;19.35;19.276;19.35;7732.6
2023-03-13;19.072;19.072;18.52;18.72;29244.17
2023-03-14;18.68;18.68;18.68;18.68;18.68
2023-03-16;18.822;18.92;18.822;18.912;265252.76
2023-03-17;19.012;19.016;18.94;18.94;2447.18
2023-03-21;18.646;18.646;18.6;18.6;10813.3
2023-03-24;18.0;18.0;18.0;18.0;990.0
2023-04-03;19.38;19.38;19.314;19.314;3019.964
2023-04-04;18.89;18.89;18.89;18.89;75.56
2023-04-05;18.862;18.862;18.85;18.85;1207.0
2023-04-12;18.898;18.898;18.898;18.898;94.49
2023-04-14;18.9;18.9;18.9;18.9;699.3
2023-04-20;18.25;18.25;18.212;18.212;13431.962
2023-04-21;18.364;18.364;18.364;18.364;18.364
2023-04-26;18.04;18.04;17.78;17.968;1798.568
2023-04-28;18.202;18.202;18.202;18.202;200.222
2023-05-03;18.2;18.2;18.2;18.2;1274.0
2023-05-05;17.976;17.976;17.976;17.976;251.664
2023-05-09;18.282;18.282;18.15;18.15;800.844
2023-05-10;18.418;18.418;18.418;18.418;368.36
2023-05-19;18.562;18.67;18.562;18.67;465.67
2023-05-24;18.57;18.57;18.57;18.57;10770.6
2023-06-01;18.306;18.306;18.306;18.306;256.284
2023-06-05;19.028;19.028;19.028;19.028;1046.54
2023-06-06;19.3;19.3;19.3;19.3;135.1
2023-06-07;19.502;19.502;19.502;19.502;877.59
2023-06-08;19.602;19.602;19.602;19.602;254.826
2023-06-13;19.338;19.338;19.338;19.338;1933.8
2023-06-14;19.642;19.642;19.642;19.642;667.828
2023-07-03;19.442;19.442;19.43;19.43;3673.41
2023-07-07;19.162;19.162;19.162;19.162;249.106
2023-07-13;19.52;19.52;19.52;19.52;10501.76
2023-07-14;19.336;19.336;19.336;19.336;96.68
2023-07-17;19.012;19.012;19.012;19.012;95.06
2023-07-28;19.45;19.45;19.45;19.45;291.75
2023-07-31;19.622;19.622;19.574;19.62;2958.034
2023-08-01;19.806;19.806;19.806;19.806;59.418
2023-08-08;18.968;18.968;18.856;18.856;754.8
2023-08-10;18.7;18.7;18.7;18.7;654.5
2023-08-14;18.66;18.664;18.66;18.664;447.88
2023-08-16;18.278;18.278;18.276;18.276;932.176
2023-08-17;18.162;18.166;18.1;18.1;11051.682
2023-08-18;17.992;17.992;17.992;17.992;899.6
2023-08-21;18.168;18.168;18.134;18.134;10119.372
2023-08-23;18.0;18.0;18.0;18.0;13230.0
2023-08-25;17.93;18.018;17.93;18.018;1224.52
2023-08-30;18.14;18.14;18.14;18.14;14693.4
2023-08-31;18.116;18.116;18.116;18.116;3351.46
2023-09-01;18.044;18.096;18.044;18.096;126.412
2023-09-04;18.322;18.322;18.322;18.322;73.288
2023-09-05;18.21;18.264;18.21;18.264;10106.82
2023-09-11;18.12;18.12;18.12;18.12;9060.0
2023-09-13;18.452;18.452;18.452;18.452;258.328
2023-09-15;18.67;18.67;18.612;18.612;317.332
2023-09-19;18.36;18.36;18.296;18.296;164.984
2023-09-21;17.962;17.962;17.812;17.812;1487.396
2023-09-26;17.546;17.546;17.5;17.5;14791.18
2023-10-02;17.364;17.364;17.364;17.364;52.092
2023-10-03;16.834;16.834;16.764;16.764;20200.97
2023-10-05;16.52;16.52;16.52;16.52;611.24
2023-10-13;16.434;16.434;16.434;16.434;197.208
2023-10-16;16.426;16.592;16.426;16.592;509.372
2023-10-23;15.82;15.82;15.82;15.82;79.1
2023-10-25;15.746;15.746;15.672;15.672;971.886
2023-10-30;15.682;15.682;15.568;15.594;514.812
2023-10-31;15.606;15.606;15.606;15.606;156.06
2023-11-01;15.568;15.568;15.54;15.54;62.244
2023-11-03;15.968;15.968;15.968;15.968;542.912
2023-11-06;16.37;16.37;16.37;16.37;261.92
2023-11-07;15.96;15.96;15.96;15.96;19997.88
2023-11-09;15.558;15.564;15.518;15.534;216271.994
2023-11-10;15.07;15.176;15.07;15.176;5502.67
2023-11-15;15.564;15.808;15.552;15.722;53668.234
2023-11-22;15.224;15.224;15.224;15.224;228.36
2023-11-24;15.164;15.164;15.164;15.164;90.984
2023-11-28;14.9;14.9;14.9;14.9;1490.0
2023-12-01;15.318;15.57;15.318;15.57;232.29
2023-12-04;15.59;15.592;15.588;15.592;1886.222
2023-12-06;15.43;15.43;15.43;15.43;2977.99
2023-12-08;15.444;15.444;15.444;15.444;30.888
2023-12-11;15.442;15.442;15.442;15.442;2980.306
2023-12-13;15.48;15.48;15.468;15.468;92.868
2023-12-14;16.054;16.054;16.032;16.044;78377.49
2023-12-15;16.346;16.346;15.984;15.984;2318.924
2023-12-19;15.858;15.858;15.858;15.858;1585.8
2023-12-20;15.952;15.952;15.952;15.952;1004.976
2024-01-02;15.908;15.972;15.858;15.858;302.358
2024-01-03;15.67;15.67;15.582;15.584;21084.908
2024-01-08;15.21;15.21;15.21;15.21;638.82
2024-01-09;15.25;15.25;15.234;15.234;31555.08
2024-01-10;15.116;15.116;15.116;15.116;302.32
2024-01-15;14.974;14.974;14.974;14.974;509.116
2024-01-16;14.922;14.922;14.922;14.922;552.114
2024-01-19;14.514;14.514;14.514;14.514;246.738
